basis_id,degree_n,degree_l,degree_m,parity,source_reference,check_status,notes
x,1,1,0,even,finite normal-ordered bracket pairing packet,verified,positive even class
x_dual,-1,-1,0,even,finite normal-ordered bracket pairing packet,verified,negative even dual class
z,1,1,1,odd,finite normal-ordered bracket pairing packet,verified,positive odd class
z_dual,-1,-1,-1,odd,finite normal-ordered bracket pairing packet,verified,negative odd dual class
h,0,0,0,even,finite normal-ordered bracket pairing packet,verified,zero even class
h_dual,0,0,0,even,finite normal-ordered bracket pairing packet,verified,zero even dual class
y,0,0,0,odd,finite normal-ordered bracket pairing packet,verified,zero odd class
xy,1,1,0,odd,finite normal-ordered bracket pairing packet,verified,bracket target for x and y
xz,2,2,1,odd,finite normal-ordered bracket pairing packet,verified,bracket target for x and z
yz,1,1,1,even,finite normal-ordered bracket pairing packet,verified,bracket target for y and z
