firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
fw_compact_hall_source_basis,compact_hall_source_basis,true,0,appendices/C_mukai_gram.tex:prop:type-ii-compact-mukai-representatives,verified,Mukai representatives are not compact Hall source basis vectors
fw_o2_wall_object,o2_wall_object,true,0,appendices/C_mukai_gram.tex:prop:type-ii-compact-mukai-representatives,verified,Mukai representatives are not retained O2 wall objects
fw_hn_semistability,hn_semistability,true,0,appendices/C_mukai_gram.tex:prop:type-ii-compact-mukai-representatives,verified,Mukai vectors do not certify HN semistability
fw_orientation_data,orientation_data,true,0,appendices/C_mukai_gram.tex:prop:type-ii-compact-mukai-representatives,verified,Mukai vectors do not supply reduced orientations
fw_vanishing_cycle_summand,vanishing_cycle_summand,true,0,appendices/C_mukai_gram.tex:prop:type-ii-compact-mukai-representatives,verified,Mukai vectors do not supply vanishing-cycle summands
fw_e_quotient,e_quotient,true,0,appendices/C_mukai_gram.tex:prop:type-ii-compact-mukai-representatives,verified,Mukai vectors do not supply E-quotient data
fw_wall_chart,wall_chart,true,0,appendices/C_mukai_gram.tex:prop:type-ii-compact-mukai-representatives,verified,Mukai vectors do not supply wall charts
fw_pfaffian_sign,pfaffian_sign,true,0,appendices/C_mukai_gram.tex:prop:type-ii-compact-mukai-representatives,verified,Mukai vectors do not supply Pfaffian signs
fw_protected_integration,protected_integration,true,0,appendices/C_mukai_gram.tex:prop:type-ii-compact-mukai-representatives,verified,Mukai vectors do not supply protected integration
fw_target_label_only,target_label_only,true,0,appendices/C_mukai_gram.tex:prop:type-ii-compact-mukai-representatives,verified,The rows contain compact sheaf models and are not target labels alone
