edge_id,theorem_id,dependency_id,dependency_kind,source_level,target_level,used_in_proof,edge_defect_rank,geometric_source_id,proof_reference,check_status,notes
edge_construction_hn,thm_construction,obj_hn_index,index_category,P,P,true,0,k3e_finite_hn_dependency_rows,appendices/F_finite_constructions.tex:1646,verified,HN index enters construction
edge_construction_hall,thm_construction,obj_compact_hall_source,compact_hall_source,P,P,true,0,k3e_compact_hall_tables,certificates/sources/k3e_compact_hall/README.md,verified,compact Hall source enters pro object
edge_construction_koszul,thm_construction,obj_chiral_koszul_source,koszul_source,C,P,true,0,koszul_comparison_tables,chapters/05_subsections/05_5_koszul.tex:1,verified,Koszul source object enters construction
edge_construction_pfaffian,thm_construction,obj_pfaffian_line,pfaffian_section,S,P,true,0,pfaffian_fixture_tables,certificates/pfaffian/README.md,verified,Pfaffian section data enter construction
edge_construction_orientation,thm_construction,obj_orientation_character,orientation_character,S,P,true,0,orientation_fixture_tables,certificates/orientation/README.md,verified,orientation character data enter construction
edge_pfaffian_line,thm_pfaffian_dirac,obj_pfaffian_line,pfaffian_section,S,S,true,0,pfaffian_fixture_tables,chapters/06_pfaffian_dirac.tex:94,verified,Pfaffian line is used in Pfaffian comparison
edge_pfaffian_orientation,thm_pfaffian_dirac,obj_orientation_character,orientation_character,S,S,true,0,orientation_fixture_tables,chapters/06_pfaffian_dirac.tex:94,verified,orientation character is used for wall signs
edge_pfaffian_delta,thm_pfaffian_dirac,obj_automorphic_delta5,automorphic_normalization,A,S,true,0,theta_normalization_packet,certificates/normalizations/delta5_theta_leading/README.md,verified,automorphic section is codomain and normalization
edge_orientation_object,thm_orientation_character,obj_orientation_character,orientation_data,S,S,true,0,orientation_fixture_tables,chapters/06_pfaffian_dirac.tex:211,verified,orientation theorem uses orientation data
edge_orientation_delta,thm_orientation_character,obj_automorphic_delta5,automorphic_character,A,S,true,0,orientation_fixture_tables,chapters/06_pfaffian_dirac.tex:211,verified,comparison with automorphic character is a codomain check
edge_recognition_source,thm_primitive_recognition,obj_compact_hall_source,compact_source,P,P,true,0,k3e_compact_hall_tables,chapters/05_subsections/05_6_primitive_recognition.tex:64,verified,source construction is required
edge_recognition_primitive,thm_primitive_recognition,obj_primitive_lie_source,primitive_source,P,P,true,0,k3e_compact_hall_tables,chapters/05_subsections/05_6_primitive_recognition.tex:67,verified,primitive source algebra is required
edge_recognition_bkm,thm_primitive_recognition,obj_bkm_denominator,bkm_codomain,A,P,true,0,delta5_gn_kac_presentation,certificates/targets/delta5_gn_kac/a071_target_presentation/manifest.yaml,verified,BKM target is comparison codomain
edge_recognition_koszul,thm_primitive_recognition,obj_chiral_koszul_source,koszul_source,C,P,true,0,koszul_comparison_tables,chapters/05_subsections/05_6_primitive_recognition.tex:210,verified,Koszul source is used only after recognition datum
edge_trace_delta,thm_scalar_trace,obj_automorphic_delta5,automorphic_section,A,Z,true,0,theta_normalization_packet,chapters/09_zbps_realization.tex:1,verified,Delta section supplies scalar square input
edge_trace_trace,thm_scalar_trace,obj_scalar_trace,trace_object,Z,Z,true,0,trace_fixture_tables,certificates/trace/README.md,verified,trace object supplies scalar shadow
edge_mirror_delta,thm_mirror_discriminant,obj_automorphic_delta5,automorphic_divisor,A,A,true,0,mirror_period_rows,chapters/08_view4_mirror.tex:1,verified,automorphic divisor is the period comparison input
edge_mirror_period,thm_mirror_discriminant,obj_mirror_discriminant,period_discriminant,A,A,true,0,mirror_period_rows,chapters/08_view4_mirror.tex:1,verified,mirror period line is conjectural codomain
edge_gravity_trace,thm_gravity_line,obj_scalar_trace,scalar_shadow,Z,A,true,0,gravity_residual_rows,chapters/09_zbps_realization.tex:555,verified,scalar trace is only input to open lift
edge_gravity_residual,thm_gravity_line,obj_gravity_residual,operator_residual,A,A,true,0,gravity_residual_rows,chapters/09_zbps_realization.tex:555,verified,open operator algebra residual is conclusion data
