equality_id,left_object_id,right_object_id,equality_kind,ambient_category_id,beilinson_level,claim_status,scalar_shadow_allowed,equality_defect_rank,forbidden_lift,geometric_source_id,proof_reference,check_status,notes
eq_pro_object,obj_hn_index,obj_compact_hall_source,pro_object_identity,pro_category_finite_di_objects,P,relative,false,0,scalar_shadow_does_not_define_transition_functor,theorem_dependency_rows,chapters/05_view3_dirac_igusa.tex:168,verified,the symbol varprojlim denotes a pro object in the finite-stage category
eq_automorphic_section,obj_automorphic_delta5,obj_theta_lift,automorphic_section,picard_groupoid_automorphic_lines,A,proved_elsewhere,false,0,automorphic_line_not_pfaffian_line,borcherds_gn_import,chapters/03_view1_automorphic.tex:1,verified,Delta5 is an automorphic section in an automorphic line bundle
eq_bkm_denominator,obj_bkm_denominator,obj_automorphic_delta5,bkm_denominator,completed_lie_superalgebras,A,proved_elsewhere,true,0,denominator_product_does_not_recognize_source_lie_algebra,delta5_gn_kac_presentation,chapters/04_view2_bkm.tex:1,verified,BKM denominator identity lives in the completed root group algebra and its automorphic specialization
eq_pfaffian_section,obj_pfaffian_line,obj_automorphic_delta5,pfaffian_section,picard_groupoid_pfaffian_lines,S,relative,true,0,automorphic_section_does_not_define_pfaffian_line,pfaffian_fixture_tables,chapters/06_pfaffian_dirac.tex:94,verified,protected Pfaffian equality is relative to constructed Pfaffian line and section data
eq_orientation_character,obj_orientation_character,obj_automorphic_delta5,orientation_character,picard_groupoid_orientation_lines,S,relative,false,0,op_scalar_branch_does_not_define_orientation_character,orientation_fixture_tables,chapters/06_pfaffian_dirac.tex:211,verified,epsilon_o equals the Maass character only after orientation data are supplied
eq_primitive_recognition,obj_primitive_lie_source,obj_bkm_denominator,primitive_recognition,completed_lie_superalgebras,P,conditional,false,0,denominator_product_does_not_supply_source_bracket_or_radical,finite_source_proof_tables,chapters/05_subsections/05_6_primitive_recognition.tex:64,verified,primitive recognition lives in completed Lie superalgebras and needs source matrices
eq_koszul_chiral,obj_chiral_koszul_source,obj_bkm_denominator,koszul_chiral_comparison,derived_chiral_coalgebras,C,conditional,false,0,target_counit_does_not_define_source_koszul_datum,koszul_comparison_tables,chapters/05_subsections/05_5_koszul.tex:1,verified,chiral Koszul comparison is a derived chiral morphism not a scalar identity
eq_scalar_trace,obj_automorphic_delta5,obj_scalar_trace,scalar_trace,trace_categories,Z,relative,true,0,scalar_trace_does_not_lift_to_orientation_or_primitive_bracket,trace_fixture_tables,chapters/09_zbps_realization.tex:555,verified,Z_BPS is a protected scalar trace after determinant and normalization data
eq_mirror_discriminant,obj_automorphic_delta5,obj_mirror_discriminant,mirror_discriminant_conjecture,period_line_category,A,conjectured,true,0,mirror_conjecture_does_not_enter_pfaffian_or_recognition,mirror_period_rows,chapters/08_view4_mirror.tex:1,verified,mirror discriminant is a conjectural period-line comparison
eq_gravity_residual,obj_scalar_trace,obj_gravity_residual,gravity_residual_open,boundary_operator_algebras,A,open,false,0,scalar_trace_does_not_construct_gravity_operator_algebra,gravity_residual_rows,chapters/09_zbps_realization.tex:555,verified,gravity-line residual is an open operator-algebra lift from the scalar trace
