object_id,object_kind,beilinson_level,category_id,construction_packet_id,constructed_status,geometric_source_id,proof_reference,check_status,notes
obj_hn_index,filtered_hn_index,P,filtered_categories,moduli_and_charge_packets,verified,k3e_finite_hn_dependency_rows,appendices/F_finite_constructions.tex:1646,verified,finite HN index category with strict transitions
obj_compact_hall_source,compact_hall_source,P,completed_hall_categories,k3e_compact_hall,retained,k3e_compact_hall_tables,certificates/sources/k3e_compact_hall/README.md,verified,compact primitive source package
obj_primitive_lie_source,primitive_hall_lie_superalgebra,P,completed_lie_superalgebras,k3e_compact_hall,retained,k3e_compact_hall_tables,chapters/05_subsections/05_6_primitive_recognition.tex:64,verified,source primitive algebra conditional on compact Hall data
obj_bkm_denominator,bkm_denominator_algebra,A,completed_lie_superalgebras,a071_target_presentation,verified,delta5_gn_kac_presentation,certificates/targets/delta5_gn_kac/a071_target_presentation/manifest.yaml,verified,imported GN Kac target presentation
obj_theta_lift,regularized_theta_lift,A,automorphic_representation_category,theta_lift_sources,constructed,borcherds_gn_import,chapters/07_view5_theta_lift.tex:1,verified,imported theta lift route
obj_automorphic_delta5,automorphic_section,A,picard_groupoid_automorphic_lines,delta5_theta_leading,verified,theta_normalization_packet,certificates/normalizations/delta5_theta_leading/README.md,verified,Igusa cusp form automorphic section
obj_pfaffian_line,protected_pfaffian_section,S,picard_groupoid_pfaffian_lines,pfaffian_and_wall_packets,retained,pfaffian_fixture_tables,certificates/pfaffian/README.md,verified,protected Pfaffian section relative to retained data
obj_orientation_character,orientation_character,S,picard_groupoid_orientation_lines,orientation_packets,retained,orientation_fixture_tables,certificates/orientation/README.md,verified,Weyl orientation character relative to quotient data
obj_chiral_koszul_source,chiral_koszul_source,C,chiral_coalgebras,koszul_source_tables,retained,koszul_comparison_tables,certificates/sources/k3e_compact_hall/koszul_comparison_identities.csv,verified,chiral Koszul source datum
obj_scalar_trace,protected_scalar_trace,Z,trace_categories,k3e_trace_packet,verified,trace_fixture_tables,certificates/trace/README.md,verified,level n protected trace row
obj_mirror_discriminant,mirror_period_discriminant,A,period_line_category,mirror_period_packet,conjectural,mirror_period_rows,chapters/08_view4_mirror.tex:1,verified,period side conjectural reading
obj_gravity_residual,hall_borcherds_gravity_residual,A,boundary_operator_algebras,gravity_residual_rows,open,gravity_residual_rows,chapters/09_zbps_realization.tex:555,verified,open Hall Borcherds operator algebra residual
