firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_finite_moduli_only,finite_moduli_only,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-geometric-hall-object,verified,retained_finite_stacks_without_coefficients_do_not_define_HRgeom
fw_orientation_ledger_only,orientation_ledger_only,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-geometric-hall-object,verified,orientation_obstruction_ledger_without_lines_is_not_the_Hall_object
fw_vanishing_cycle_transition_only,vanishing_cycle_transition_only,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-geometric-hall-object,verified,transition_transport_rows_do_not_supply_finite_coefficient_objects
fw_compact_hall_empty_ledger,compact_Hall_empty_ledger,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-geometric-hall-object,verified,empty_source_tables_do_not_populate_HRgeom
fw_product_matrix,product_matrix,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-geometric-hall-object,verified,product_rows_belong_to_row342_and_later_not_to_the_object_definition
fw_coproduct_matrix,coproduct_matrix,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-geometric-hall-object,verified,coproduct_rows_do_not_replace_object_components
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-geometric-hall-object,verified,a_trace_is_a_functional_not_the_Hall_object
fw_euler_characteristic,euler_characteristic,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-geometric-hall-object,verified,Euler_characteristics_forget_the_BM_groups_and_basis_provenance
fw_signed_multiplicity,signed_multiplicity,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-geometric-hall-object,verified,signed_root_multiplicity_is_a_scalar_shadow
fw_pfaffian_product,pfaffian_product,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-geometric-hall-object,verified,Pfaffian_product_is_not_the_finite_Hall_source_object
fw_target_root_window,target_root_window,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-geometric-hall-object,verified,target_root_spaces_are_not_source_BM_components
fw_denominator_product,denominator_product,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-geometric-hall-object,verified,Borcherds_product_does_not_construct_source_components
