coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
definition_count,definition_rows,1,1,0,definition_rows.csv,verified,one_row351_antipode_definition_recorded
antipode_rows,antipode_rows,0,0,0,antipode_rows.csv,verified,no_local_antipode_matrix_rows_supplied
convolution_identity_rows,convolution_identity_rows,0,0,0,convolution_identity_rows.csv,verified,no_local_convolution_identity_rows_supplied
row350_compatibility_rows,bialgebra_compatibility,0,0,0,certificates/hall/finite_hall_bialgebra_compatibility/compatibility_rows.csv,verified,row350_has_no_populated_bialgebra_identity_rows
source_product_matrix_rows,compact_hall_source,0,0,0,certificates/sources/k3e_compact_hall/M_entries.csv,verified,no_source_product_matrix_rows
source_coproduct_matrix_rows,compact_hall_source,0,0,0,certificates/sources/k3e_compact_hall/D_entries.csv,verified,no_source_coproduct_matrix_rows
source_unit_counit_rows,compact_hall_source,0,0,0,certificates/sources/k3e_compact_hall/unit_counit.csv,verified,no_source_unit_or_counit_rows
source_bialgebra_rows,compact_hall_source,0,0,0,certificates/sources/k3e_compact_hall/hall_bialgebra_identities.csv,verified,no_source_bialgebra_identity_rows
source_antipode_table_present,compact_hall_source,0,0,0,certificates/sources/k3e_compact_hall/S_entries.csv,verified,no_source_antipode_table_is_supplied
product_transition_rows,transition_hall_product,0,0,0,certificates/hall/transition_hall_product_preservation/transition_defects.csv,verified,no_product_transition_rows
coproduct_transition_rows,transition_hall_coproduct,0,0,0,certificates/hall/transition_hall_coproduct_preservation/transition_defects.csv,verified,no_coproduct_transition_rows
antipode_transition_rows,transition,0,0,0,certificates/hall/finite_hall_antipode_datum/antipode_rows.csv,verified,no_antipode_transition_rows
