firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_bialgebra,bialgebra,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-hall-antipode-datum,verified,a_bialgebra_is_not_a_Hopf_algebra_without_antipode_data
fw_bialgebra_compatibility,bialgebra_compatibility,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-hall-antipode-datum,verified,Delta_m_equals_m_tensor_m_Delta_does_not_define_S_R
fw_hopf_pairing,hopf_pairing,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-hall-antipode-datum,verified,Hopf_pairing_adjointness_is_not_an_antipode
fw_drinfeld_double,drinfeld_double,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-hall-antipode-datum,verified,a_target_or_comparison_Drinfeld_double_does_not_supply_source_Hall_antipode_rows
fw_bar_coalgebra,bar_coalgebra,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-hall-antipode-datum,verified,bar_deconcatenation_does_not_supply_the_Hall_antipode
fw_primitive_closure,primitive_closure,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-hall-antipode-datum,verified,primitive_closure_uses_bialgebra_data_and_is_not_a_convolution_inverse
fw_conilpotence_without_rows,conilpotence_without_rows,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-hall-antipode-datum,verified,recursive_antipode_requires_a_supplied_terminating_filtration_row
fw_unit_counit_only,unit_counit_only,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-hall-antipode-datum,verified,unit_and_counit_are_the_target_of_convolution_identities_not_the_antipode
fw_product_coproduct_matrices,product_coproduct_matrices,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-hall-antipode-datum,verified,M_and_D_matrices_need_S_and_zero_convolution_defects_for_Hopf
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-hall-antipode-datum,verified,a_trace_does_not_construct_a_convolution_inverse
fw_signed_multiplicity,signed_multiplicity,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-hall-antipode-datum,verified,signed_multiplicity_is_scalar_shadow
fw_target_hopf_algebra,target_hopf_algebra,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-hall-antipode-datum,verified,target_Hopf_structure_is_not_source_compact_Hall_antipode_data
