coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
criterion_count,criterion_rows,1,1,0,criterion_rows.csv,verified,one_row350_product_coproduct_square_criterion_recorded
compatibility_rows,compatibility_rows,0,0,0,compatibility_rows.csv,verified,no_populated_bialgebra_compatibility_rows_supplied
row342_product_operator_rows,product_operator,0,0,0,certificates/hall/finite_hall_product_operator/product_operator_rows.csv,verified,row342_has_no_product_operator_rows
row346_associativity_rows,product_associativity,0,0,0,certificates/hall/finite_hall_product_associativity_two_step_flags/associativity_rows.csv,verified,row346_has_no_populated_associativity_rows
row347_coproduct_operator_rows,coproduct_operator,0,0,0,certificates/hall/finite_hall_coproduct_operator/coproduct_operator_rows.csv,verified,row347_has_no_coproduct_operator_rows
row349_coassociativity_rows,coproduct_coassociativity,0,0,0,certificates/hall/finite_hall_coproduct_coassociativity_two_step_flags/coassociativity_rows.csv,verified,row349_has_no_populated_coassociativity_rows
finite_moduli_extension_flag_rows,finite_moduli,0,0,0,certificates/moduli/k3e_finite_moduli/extension_flag_stacks.csv,verified,no_product_splitting_square_rows_supplied
compact_support_base_change_rows,compact_support_model,0,0,0,certificates/hybrid/compact_support_exceptional_pushforward_model/base_change_rows.csv,verified,no_mixed_square_base_change_rows
compact_support_projection_formula_rows,compact_support_model,0,0,0,certificates/hybrid/compact_support_exceptional_pushforward_model/projection_formula_rows.csv,verified,no_mixed_square_projection_formula_rows
compact_support_thom_sebastiani_rows,compact_support_model,0,0,0,certificates/hybrid/compact_support_exceptional_pushforward_model/thom_sebastiani_rows.csv,verified,no_product_coproduct_TS_rows
compact_support_choice_independence_rows,compact_support_model,0,0,0,certificates/hybrid/compact_support_exceptional_pushforward_model/choice_independence_rows.csv,verified,no_mixed_square_choice_independence_rows
source_product_matrix_rows,compact_hall_source,0,0,0,certificates/sources/k3e_compact_hall/M_entries.csv,verified,no_source_product_matrix_rows
source_coproduct_matrix_rows,compact_hall_source,0,0,0,certificates/sources/k3e_compact_hall/D_entries.csv,verified,no_source_coproduct_matrix_rows
source_bialgebra_rows,compact_hall_source,0,0,0,certificates/sources/k3e_compact_hall/hall_bialgebra_identities.csv,verified,no_Hall_bialgebra_identity_rows
product_transition_matrix_rows,transition_hall_product,0,0,0,certificates/hall/transition_hall_product_preservation/product_matrix_transport.csv,verified,no_product_transition_matrix_rows
product_transition_defect_rows,transition_hall_product,0,0,0,certificates/hall/transition_hall_product_preservation/transition_defects.csv,verified,no_product_transition_defect_rows
coproduct_transition_matrix_rows,transition_hall_coproduct,0,0,0,certificates/hall/transition_hall_coproduct_preservation/coproduct_matrix_transport.csv,verified,no_coproduct_transition_matrix_rows
coproduct_transition_defect_rows,transition_hall_coproduct,0,0,0,certificates/hall/transition_hall_coproduct_preservation/transition_defects.csv,verified,no_coproduct_transition_defect_rows
