firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_product_operator_notation,product_operator_notation,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-bialgebra-compatibility,verified,m_R_formula_does_not_prove_bialgebra_compatibility
fw_coproduct_operator_notation,coproduct_operator_notation,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-bialgebra-compatibility,verified,Delta_R_formula_does_not_prove_bialgebra_compatibility
fw_associativity,associativity,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-bialgebra-compatibility,verified,associativity_of_m_R_is_not_product_coproduct_compatibility
fw_coassociativity,coassociativity,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-bialgebra-compatibility,verified,coassociativity_of_Delta_R_is_not_product_coproduct_compatibility
fw_compactification_independence,compactification_independence,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-bialgebra-compatibility,verified,choice_independence_is_one_input_to_the_mixed_square_not_the_identity
fw_product_matrix,product_matrix,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-bialgebra-compatibility,verified,M_entries_without_D_entries_and_zero_defect_rows_do_not_prove_the_identity
fw_coproduct_matrix,coproduct_matrix,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-bialgebra-compatibility,verified,D_entries_without_M_entries_and_zero_defect_rows_do_not_prove_the_identity
fw_bar_coalgebra,bar_coalgebra,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-bialgebra-compatibility,verified,bar_deconcatenation_is_not_the_compact_Hall_mixed_square
fw_target_bkm_bialgebra,target_bkm_bialgebra,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-bialgebra-compatibility,verified,target_BKM_bialgebra_data_are_not_source_compact_Hall_geometry
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-bialgebra-compatibility,verified,a_trace_does_not_construct_or_compare_Hall_product_and_coproduct
fw_signed_multiplicity,signed_multiplicity,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-bialgebra-compatibility,verified,signed_multiplicity_is_scalar_shadow
fw_transition_preservation,transition_preservation,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-bialgebra-compatibility,verified,transition_preservation_is_required_for_the_limit_not_the_finite_mixed_square_identity
fw_hopf_pairing,hopf_pairing,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-bialgebra-compatibility,verified,Hopf_pairing_adjointness_is_later_and_does_not_supply_Delta_m_equals_m_tensor_m_Delta
fw_primitive_closure,primitive_closure,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-bialgebra-compatibility,verified,primitive_closure_uses_the_bialgebra_identity_and_cannot_substitute_for_it
