coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
criterion_count,local,1,1,0,criterion_rows.csv,verified,one_row357_relative_criterion
formal_bracket_rows,formal_import,3,3,0,certificates/charge/hall_pairing_pushforward_compatibility/bracket_rows.csv,verified,three_imported_formal_bracket_rows
formal_bracket_parity_defect_total,formal_import,0,0,0,certificates/charge/hall_pairing_pushforward_compatibility/bracket_rows.csv,verified,no_imported_bracket_parity_defect
formal_basis_parity_rows,formal_import,10,10,0,certificates/charge/hall_pairing_pushforward_compatibility/basis_degrees.csv,verified,ten_formal_basis_parity_rows
parity_pushforward_source_rows,formal_import,6,6,0,certificates/charge/parity_pushforward/source_parity_rows.csv,verified,six_formal_source_parity_rows
parity_pushforward_sum_rows,formal_import,3,3,0,certificates/charge/parity_pushforward/pushforward_parity_sums.csv,verified,three_formal_pushed_parity_rows
compact_source_parity_rows,source_gap,0,0,0,certificates/sources/k3e_compact_hall/parity_blocks.csv,verified,no_compact_source_parity_rows
source_product_matrix_rows,source_gap,0,0,0,certificates/sources/k3e_compact_hall/M_entries.csv,verified,no_compact_product_rows
source_primitive_bracket_rows,source_gap,0,0,0,certificates/sources/k3e_compact_hall/B_entries.csv,verified,no_compact_bracket_rows
source_bracket_parity_rows,source_gap,0,0,0,parity_rows.csv,verified,no_current_source_bracket_parity_rows
