firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_target_parity,target_parity_table,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-bracket-parity,verified,target_BKM_parity_does_not_supply_source_Hall_parity_blocks
fw_signed_dimension,signed_dimension,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-bracket-parity,verified,one_signed_integer_does_not_determine_even_and_odd_dimensions
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-bracket-parity,verified,trace_forgets_parity_blocks_and_bracket_signs
fw_formal_bracket_rows_only,formal_bracket_rows_only,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-bracket-parity,verified,formal_three_row_packet_is_not_the_current_compact_source
fw_parity_pushforward_only,parity_pushforward_only,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-bracket-parity,verified,formal_parity_pushforward_does_not_certify_source_parity
fw_row356_degree_only,row356_degree_only,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-bracket-parity,verified,normal_ordered_degree_preservation_does_not_prove_parity
fw_row355_jacobi_only,row355_jacobi_only,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-bracket-parity,verified,Jacobi_identity_does_not_supply_parity_blocks
fw_product_without_parity,product_without_parity,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-bracket-parity,verified,product_rows_without_parity_labels_do_not_verify_super_signs
fw_bracket_without_parity,bracket_without_parity,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-bracket-parity,verified,bracket_matrix_without_parity_labels_cannot_verify_row357
fw_gn_kac_parity_equality,gn_kac_parity_equality,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-bracket-parity,verified,target_source_parity_equality_is_a_later_recognition_obligation
fw_orientation_parity,orientation_parity,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-bracket-parity,verified,orientation_parity_compatibility_does_not_compute_Hall_bracket_parity
