coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
datum_count,local,1,1,0,datum_rows.csv,verified,one_row364_datum_row
compact_source_G_entries,source_gap,0,0,0,certificates/sources/k3e_compact_hall/G_entries.csv,verified,no_compact_source_G_entries
compact_source_K_entries,source_gap,0,0,0,certificates/sources/k3e_compact_hall/K_entries.csv,verified,no_compact_source_K_entries
compact_source_Q_entries,source_gap,0,0,0,certificates/sources/k3e_compact_hall/Q_entries.csv,verified,no_compact_source_Q_entries
compact_source_hopf_pairing_identity_rows,source_gap,0,0,0,certificates/sources/k3e_compact_hall/hopf_pairing_identities.csv,verified,no_Hopf_pairing_identity_rows
row361_invariance_rows,import_gap,0,0,0,certificates/hall/finite_hall_pairing_invariance/invariance_rows.csv,verified,row361_has_no_current_source_Frobenius_rows
row362_adjointness_rows,import_gap,0,0,0,certificates/hall/finite_hall_pairing_coproduct_adjointness/adjointness_rows.csv,verified,row362_has_no_current_source_adjointness_rows
row363_quotient_nondegeneracy_rows,import_gap,0,0,0,certificates/hall/finite_hall_quotient_pairing_nondegeneracy/quotient_nondegeneracy_rows.csv,verified,row363_has_no_current_source_qnd_rows
serre_sign_rows,source_gap,0,0,0,certificates/orientation/rhomred_orientation_cy3_serre_signs/serre_sign_rows.csv,verified,no_reduced_CY3_Serre_sign_rows
level_Z_trace_categories,trace_firewall,0,0,0,certificates/trace/k3e_protected_trace/trace_categories.csv,verified,no_level_Z_trace_category_rows
level_Z_trace_functors,trace_firewall,0,0,0,certificates/trace/k3e_protected_trace/protected_trace_functors.csv,verified,no_level_Z_trace_functor_rows
source_degree_zero_trace_rows,source_gap,0,0,0,blocked_obligations.csv,verified,no_source_degree_zero_trace_rows_supplied
positive_negative_correspondence_rows,source_gap,0,0,0,blocked_obligations.csv,verified,no_positive_negative_pairing_correspondence_rows_supplied
cyclic_three_point_rows,source_gap,0,0,0,blocked_obligations.csv,verified,no_cyclic_three_point_correspondence_rows_supplied
