coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
datum_count,local_datum,1,1,0,datum_rows.csv,verified,one source-coalgebra datum row is recorded
coalgebra_rows,local_required_rows,0,0,0,coalgebra_rows.csv,verified,no finite source coalgebra row is supplied
filtration_rows,local_required_rows,0,0,0,filtration_rows.csv,verified,no finite filtration row is supplied
conilpotence_rows,local_required_rows,0,0,0,conilpotence_rows.csv,verified,no conilpotence nilpotence row is supplied
coproduct_transition_rows,local_required_rows,0,0,0,coproduct_transition_rows.csv,verified,no source coalgebra transition row is supplied
inverse_limit_rows,local_required_rows,0,0,0,inverse_limit_rows.csv,verified,no inverse-limit ML row is supplied
hybrid_higher_coloured_rows,imported_hybrid,0,0,0,certificates/hybrid/k3e_hybrid_carrier/higher_coloured.csv,verified,no hybrid higher-coloured rows are supplied
hybrid_transition_rows,imported_hybrid,0,0,0,certificates/hybrid/k3e_hybrid_carrier/transitions.csv,verified,no hybrid transition rows are supplied
compact_source_D_entries,imported_compact_source,0,0,0,certificates/sources/k3e_compact_hall/D_entries.csv,verified,no compact coproduct matrix rows are supplied
compact_source_unit_counit_rows,imported_compact_source,0,0,0,certificates/sources/k3e_compact_hall/unit_counit.csv,verified,no compact unit counit rows are supplied
compact_source_bialgebra_rows,imported_compact_source,0,0,0,certificates/sources/k3e_compact_hall/hall_bialgebra_identities.csv,verified,no compact bialgebra identity rows are supplied
d0_retained_rows,imported_d0,0,0,0,certificates/d0/k3e_d0_hn/retained_substacks.csv,verified,no retained D0-HN rows are supplied
transition_coproduct_defect_rows,imported_transition,0,0,0,certificates/hall/transition_hall_coproduct_preservation/transition_defects.csv,verified,no transition coproduct zero-defect rows are supplied
primitive_lim1_rows,imported_lim1,0,0,0,certificates/hall/primitive_space_lim1_vanishing/primitive_ml_r1lim_defects.csv,verified,no primitive ML zero row is supplied
pairing_kernel_lim1_rows,imported_lim1,0,0,0,certificates/hall/pairing_kernel_lim1_vanishing/pairing_kernel_ml_r1lim_defects.csv,verified,no pairing-kernel ML zero row is supplied
