coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
criterion_count,criterion_rows,1,1,0,criterion_rows.csv,verified,one_row349_two_step_splitting_flag_criterion_recorded
coassociativity_rows,coassociativity_rows,0,0,0,coassociativity_rows.csv,verified,no_populated_compact_Hall_coassociativity_rows_supplied
row347_coproduct_operator_rows,coproduct_operator,0,0,0,certificates/hall/finite_hall_coproduct_operator/coproduct_operator_rows.csv,verified,row347_has_no_coproduct_operator_rows
row348_pushforward_rows,pushforward_functor,0,0,0,certificates/hall/finite_hall_coproduct_pushforward_functor/pushforward_rows.csv,verified,row348_has_no_populated_p_bang_rows
finite_moduli_extension_flag_rows,finite_moduli,0,0,0,certificates/moduli/k3e_finite_moduli/extension_flag_stacks.csv,verified,no_compact_Hall_two_step_splitting_flag_rows_supplied
compact_support_base_change_rows,compact_support_model,0,0,0,certificates/hybrid/compact_support_exceptional_pushforward_model/base_change_rows.csv,verified,no_compact_support_base_change_rows
compact_support_projection_formula_rows,compact_support_model,0,0,0,certificates/hybrid/compact_support_exceptional_pushforward_model/projection_formula_rows.csv,verified,no_compact_support_projection_formula_rows
compact_support_thom_sebastiani_rows,compact_support_model,0,0,0,certificates/hybrid/compact_support_exceptional_pushforward_model/thom_sebastiani_rows.csv,verified,no_compact_support_inverse_TS_rows
compact_support_choice_independence_rows,compact_support_model,0,0,0,certificates/hybrid/compact_support_exceptional_pushforward_model/choice_independence_rows.csv,verified,no_p_bang_choice_independence_rows
hybrid_two_step_flag_rows,hybrid_two_step_flags,8,8,0,certificates/hybrid/eight_word_two_step_flag_stacks/flag_stack_rows.csv,verified,eight_hybrid_flag_rows_exist_before_compact_population
hybrid_comparison_map_rows,hybrid_two_step_flags,16,16,0,certificates/hybrid/eight_word_two_step_flag_stacks/comparison_map_rows.csv,verified,left_and_right_hybrid_comparison_maps_exist
hybrid_flag_associativity_rows,hybrid_two_step_flags,0,0,0,certificates/hybrid/eight_word_two_step_flag_stacks/associativity_rows.csv,verified,flag_stack_packet_itself_has_no_coassociativity_rows
compact_source_coproduct_matrix_rows,compact_hall_source,0,0,0,certificates/sources/k3e_compact_hall/D_entries.csv,verified,no_source_coproduct_matrix_rows
compact_source_bialgebra_rows,compact_hall_source,0,0,0,certificates/sources/k3e_compact_hall/hall_bialgebra_identities.csv,verified,no_Hall_bialgebra_coassociativity_rows
transition_coproduct_matrix_rows,transition_hall_coproduct,0,0,0,certificates/hall/transition_hall_coproduct_preservation/coproduct_matrix_transport.csv,verified,no_coproduct_transition_matrix_rows
transition_defect_rows,transition_hall_coproduct,0,0,0,certificates/hall/transition_hall_coproduct_preservation/transition_defects.csv,verified,no_transition_defect_rows
