firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_coproduct_operator_notation,coproduct_operator_notation,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-coproduct-coassociativity-two-step-flags,verified,Delta_R_formula_does_not_prove_coassociativity
fw_p_bang_existence,p_bang_existence,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-coproduct-coassociativity-two-step-flags,verified,existence_of_p_bang_for_one_coproduct_leg_is_not_coassociativity
fw_compactification_independence,compactification_independence,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-coproduct-coassociativity-two-step-flags,verified,choice_independence_is_one_input_to_coassociativity_not_the_identity
fw_hybrid_wordwise_associativity,hybrid_wordwise_associativity,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-coproduct-coassociativity-two-step-flags,verified,conditional_hybrid_product_associativity_rows_do_not_populate_compact_Delta_R
fw_two_step_flag_stacks_only,two_step_flag_stacks_only,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-coproduct-coassociativity-two-step-flags,verified,flag_stacks_without_functorial_comparisons_do_not_prove_coassociativity
fw_four_input_pentagon,four_input_pentagon,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-coproduct-coassociativity-two-step-flags,verified,pentagon_coherence_is_not_the_binary_coassociativity_row_for_Delta_R
fw_coproduct_matrix,coproduct_matrix,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-coproduct-coassociativity-two-step-flags,verified,matrix_entries_are_required_after_the_geometric_identity_not_a_substitute_for_it
fw_product_associativity,product_associativity,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-coproduct-coassociativity-two-step-flags,verified,associativity_of_m_R_is_not_coassociativity_of_Delta_R
fw_bar_coalgebra,bar_coalgebra,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-coproduct-coassociativity-two-step-flags,verified,bar_deconcatenation_is_not_the_compact_Hall_coproduct_identity
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-coproduct-coassociativity-two-step-flags,verified,a_trace_does_not_construct_or_compare_Hall_coproducts
fw_signed_multiplicity,signed_multiplicity,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-coproduct-coassociativity-two-step-flags,verified,signed_multiplicity_is_scalar_shadow
fw_target_coproduct,target_coproduct,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-coproduct-coassociativity-two-step-flags,verified,target_BKM_coproduct_is_not_source_compact_Hall_coassociativity
