firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_row341_object_only,finite_Hall_object_only,true,0,chapters/05_subsections/05_3_hall.tex:def:compact-hall-coproduct,verified,the_object_does_not_define_the_coproduct_operator
fw_compact_support_notation_only,compact_support_notation_only,true,0,chapters/05_subsections/05_3_hall.tex:def:compact-hall-coproduct,verified,p_cs_bang_notation_without_map_population_is_not_coproduct_existence
fw_product_operator,product_operator,true,0,chapters/05_subsections/05_3_hall.tex:def:compact-hall-coproduct,verified,m_R_is_the_dual_operator_not_the_coproduct_definition
fw_coproduct_matrix,coproduct_matrix,true,0,chapters/05_subsections/05_3_hall.tex:def:compact-hall-coproduct,verified,matrix_entries_are_later_population_rows_not_the_definition
fw_coassociativity,coassociativity,true,0,chapters/05_subsections/05_3_hall.tex:def:compact-hall-coproduct,verified,coassociativity_is_not_part_of_row347
fw_transition_preservation,transition_preservation,true,0,chapters/05_subsections/05_3_hall.tex:def:compact-hall-coproduct,verified,transition_preservation_is_later_HN_compatibility
fw_counit,counit,true,0,chapters/05_subsections/05_3_hall.tex:def:compact-hall-coproduct,verified,counit_is_a_separate_vacuum_operation
fw_primitive_subspace,primitive_subspace,true,0,chapters/05_subsections/05_3_hall.tex:def:compact-hall-coproduct,verified,primitive_subspace_requires_coproduct_counit_and_bialgebra_identity
fw_bar_coalgebra,bar_coalgebra,true,0,chapters/05_subsections/05_3_hall.tex:def:compact-hall-coproduct,verified,bar_deconcatenation_is_not_the_compact_Hall_coproduct_correspondence
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_3_hall.tex:def:compact-hall-coproduct,verified,a_trace_is_not_the_pull_inverse_TS_push_operator
fw_signed_multiplicity,signed_multiplicity,true,0,chapters/05_subsections/05_3_hall.tex:def:compact-hall-coproduct,verified,signed_multiplicity_is_a_scalar_shadow
fw_target_coproduct,target_coproduct,true,0,chapters/05_subsections/05_3_hall.tex:def:compact-hall-coproduct,verified,target_BKM_coalgebra_is_not_source_pull_push
fw_pfaffian_coproduct,pfaffian_coproduct,true,0,chapters/05_subsections/05_3_hall.tex:def:compact-hall-coproduct,verified,Pfaffian_coproduct_is_not_the_Hall_coproduct_operator
