firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_target_lie_algebra,target_lie_algebra,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-graded-jacobi,verified,target_Jacobi_does_not_supply_source_Hall_bracket_rows
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-graded-jacobi,verified,trace_forgets_associator_and_Jacobi_defect_rows
fw_signed_multiplicity,signed_multiplicity,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-graded-jacobi,verified,signed_dimensions_do_not_prove_Jacobi
fw_row354_closure_only,row354_closure_only,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-graded-jacobi,verified,closure_of_primitives_is_not_the_Jacobi_identity
fw_product_without_associativity,product_without_associativity,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-graded-jacobi,verified,supercommutator_Jacobi_needs_associativity
fw_bracket_matrix_without_parity,bracket_matrix_without_parity,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-graded-jacobi,verified,graded_signs_need_parity_rows
fw_hopf_pairing,hopf_pairing,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-graded-jacobi,verified,Hopf_pairing_does_not_prove_Jacobi
fw_bar_coalgebra_primitives,bar_coalgebra_primitives,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-graded-jacobi,verified,bar_primitives_are_not_compact_Hall_Jacobi_rows
fw_normal_ordering_map,normal_ordering_map,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-graded-jacobi,verified,normal_ordering_does_not_prove_associative_supercommutator_Jacobi
fw_nongraded_jacobi,nongraded_jacobi,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-graded-jacobi,verified,ordinary_Jacobi_without_Koszul_signs_is_not_the_required_identity
