coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
theorem_count,local,1,1,0,theorem_rows.csv,verified,one_row365_relative_theorem
local_hpair_defect_rows,current_packet,0,0,0,hpair_defect_rows.csv,verified,no_current_source_Hpair_defect_rows
row350_bialgebra_compatibility_rows,import_gap,0,0,0,certificates/hall/finite_hall_bialgebra_compatibility/compatibility_rows.csv,verified,row350_has_no_populated_bialgebra_rows
row362_adjointness_rows,import_gap,0,0,0,certificates/hall/finite_hall_pairing_coproduct_adjointness/adjointness_rows.csv,verified,row362_has_no_current_source_adjointness_rows
row361_invariance_rows,import_gap,0,0,0,certificates/hall/finite_hall_pairing_invariance/invariance_rows.csv,verified,row361_has_no_current_source_Frobenius_rows
row363_quotient_nondegeneracy_rows,import_gap,0,0,0,certificates/hall/finite_hall_quotient_pairing_nondegeneracy/quotient_nondegeneracy_rows.csv,verified,row363_has_no_current_source_qnd_rows
compact_source_M_entries,source_gap,0,0,0,certificates/sources/k3e_compact_hall/M_entries.csv,verified,no_compact_source_M_entries
compact_source_D_entries,source_gap,0,0,0,certificates/sources/k3e_compact_hall/D_entries.csv,verified,no_compact_source_D_entries
compact_source_G_entries,source_gap,0,0,0,certificates/sources/k3e_compact_hall/G_entries.csv,verified,no_compact_source_G_entries
compact_source_K_entries,source_gap,0,0,0,certificates/sources/k3e_compact_hall/K_entries.csv,verified,no_compact_source_K_entries
compact_source_Q_entries,source_gap,0,0,0,certificates/sources/k3e_compact_hall/Q_entries.csv,verified,no_compact_source_Q_entries
compact_source_hopf_pairing_identity_rows,source_gap,0,0,0,certificates/sources/k3e_compact_hall/hopf_pairing_identities.csv,verified,no_Hopf_pairing_identity_rows
compact_source_radical_ideal_coideal_rows,source_gap,0,0,0,certificates/sources/k3e_compact_hall/radical_ideal_coideal.csv,verified,no_radical_ideal_or_coideal_rows
source_degree_zero_trace_rows,source_gap,0,0,0,blocked_obligations.csv,verified,no_source_trace_rows_supplied
positive_negative_correspondence_rows,source_gap,0,0,0,blocked_obligations.csv,verified,no_pairing_correspondence_rows_supplied
cyclic_three_point_rows,source_gap,0,0,0,blocked_obligations.csv,verified,no_cyclic_three_point_rows_supplied
