firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_row364_definition_only,row364_definition_only,true,0,chapters/05_subsections/05_3_hall.tex:prop:geometric-hopf-pairing-data-give-defects,verified,the_definition_of_the_datum_does_not_supply_current_source_rows
fw_row350_bialgebra_only,row350_bialgebra_only,true,0,chapters/05_subsections/05_3_hall.tex:prop:geometric-hopf-pairing-data-give-defects,verified,bialgebra_compatibility_is_not_Hopf_pairing_adjointness
fw_row362_adjointness_criterion,row362_adjointness_criterion,true,0,chapters/05_subsections/05_3_hall.tex:prop:geometric-hopf-pairing-data-give-defects,verified,the_adjointness_criterion_has_no_current_source_rows
fw_row361_invariance_criterion,row361_invariance_criterion,true,0,chapters/05_subsections/05_3_hall.tex:prop:geometric-hopf-pairing-data-give-defects,verified,the_Frobenius_criterion_has_no_current_source_rows
fw_row363_nondegeneracy_criterion,row363_nondegeneracy_criterion,true,0,chapters/05_subsections/05_3_hall.tex:prop:geometric-hopf-pairing-data-give-defects,verified,the_quotient_rank_criterion_has_no_current_source_rows
fw_bare_GKQ,bare_GKQ,true,0,chapters/05_subsections/05_3_hall.tex:prop:geometric-hopf-pairing-data-give-defects,verified,G_K_Q_without_trace_correspondence_and_identity_rows_do_not_vanish_O_Hpair
fw_target_hopf_form,target_hopf_form,true,0,chapters/05_subsections/05_3_hall.tex:prop:geometric-hopf-pairing-data-give-defects,verified,target_Hopf_form_is_not_compact_source_Hpair_data
fw_target_radical_table,target_radical_table,true,0,chapters/05_subsections/05_3_hall.tex:prop:geometric-hopf-pairing-data-give-defects,verified,target_radicals_do_not_supply_source_K_Q_or_defect_rows
fw_denominator_product,denominator_product,true,0,chapters/05_subsections/05_3_hall.tex:prop:geometric-hopf-pairing-data-give-defects,verified,Borcherds_product_is_a_scalar_target_shadow
fw_level_Z_protected_trace,level_Z_protected_trace,true,0,chapters/05_subsections/05_3_hall.tex:prop:geometric-hopf-pairing-data-give-defects,verified,level_Z_trace_is_not_source_degree_zero_trace
fw_empty_compact_source,empty_compact_source,true,0,chapters/05_subsections/05_3_hall.tex:prop:geometric-hopf-pairing-data-give-defects,verified,empty_source_tables_do_not_certify_Hpair_defects
fw_rank_zero_without_geometry,rank_zero_without_geometry,true,0,chapters/05_subsections/05_3_hall.tex:prop:geometric-hopf-pairing-data-give-defects,verified,rank_zero_rows_must_be_tied_to_source_correspondences_and_orientation
fw_radical_kernel_only,radical_kernel_only,true,0,chapters/05_subsections/05_3_hall.tex:prop:geometric-hopf-pairing-data-give-defects,verified,a_kernel_matrix_alone_does_not_prove_coideal_or_Lie_ideal_stability
