coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
criterion_count,local,1,1,0,criterion_rows.csv,verified,one_row356_relative_criterion
formal_bracket_rows,formal_import,3,3,0,certificates/charge/hall_pairing_pushforward_compatibility/bracket_rows.csv,verified,three_imported_formal_bracket_rows
formal_bracket_degree_defect_total,formal_import,0,0,0,certificates/charge/hall_pairing_pushforward_compatibility/bracket_rows.csv,verified,no_imported_bracket_degree_defect
formal_pairing_rows,formal_import,3,3,0,certificates/charge/hall_pairing_pushforward_compatibility/pairing_rows.csv,verified,three_imported_pairing_rows
compact_source_degree_rows,source_gap,0,0,0,certificates/sources/k3e_compact_hall/degrees.csv,verified,no_compact_source_degree_rows
source_normal_ordered_lift_rows,source_gap,0,0,0,certificates/charge/k3e_charge_window/normal_ordered_lifts.csv,verified,no_normal_ordered_lift_rows
source_gram_map_rows,source_gap,0,0,0,certificates/charge/k3e_charge_window/gram_map.csv,verified,no_gram_map_rows
source_product_matrix_rows,source_gap,0,0,0,certificates/sources/k3e_compact_hall/M_entries.csv,verified,no_compact_product_rows
source_primitive_bracket_rows,source_gap,0,0,0,certificates/sources/k3e_compact_hall/B_entries.csv,verified,no_compact_bracket_rows
source_degree_defect_rows,source_gap,0,0,0,degree_rows.csv,verified,no_current_source_degree_defect_rows
