firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_target_lie_algebra,target_lie_algebra,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-normal-ordered-gram-degree,verified,target_BKM_root_degree_does_not_supply_source_Hall_bracket_rows
fw_target_degree_closure,target_degree_closure,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-normal-ordered-gram-degree,verified,target_degree_closure_does_not_compute_compact_source_degree_defects
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-normal-ordered-gram-degree,verified,trace_forgets_source_bracket_degree_rows
fw_formal_pushforward_rows_only,formal_pushforward_rows_only,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-normal-ordered-gram-degree,verified,formal_three_row_packet_is_not_the_current_compact_source
fw_row355_jacobi_only,row355_jacobi_only,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-normal-ordered-gram-degree,verified,Jacobi_identity_does_not_prove_normal_ordered_degree_preservation
fw_raw_quadratic_pi,raw_quadratic_pi,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-normal-ordered-gram-degree,verified,row356_uses_additive_overlinePi_X_not_raw_quadratic_Pi_X
fw_pairing_degree_only,pairing_degree_only,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-normal-ordered-gram-degree,verified,pairing_degree_zero_does_not_supply_bracket_degree_rows
fw_bar_pushforward_only,bar_pushforward_only,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-normal-ordered-gram-degree,verified,bar_degree_bookkeeping_does_not_compute_Hall_supercommutator_rows
fw_degree_without_bracket,degree_without_bracket,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-normal-ordered-gram-degree,verified,degree_map_alone_does_not_define_a_bracket
fw_parity_shortcut,parity_shortcut,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-normal-ordered-gram-degree,verified,parity_compatibility_is_row357_and_not_a_substitute_for_degree_rows
fw_normal_ordering_without_source_lifts,normal_ordering_without_source_lifts,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-normal-ordered-gram-degree,verified,normal_ordering_requires_supplied_lift_rows_for_the_current_source
