coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
criterion_count,local,1,1,0,criterion_rows.csv,verified,one_row362_adjointness_criterion
local_adjointness_rows,current_packet,0,0,0,adjointness_rows.csv,verified,no_current_source_Hopf_adjointness_rows
compact_source_M_entries,source_gap,0,0,0,certificates/sources/k3e_compact_hall/M_entries.csv,verified,no_compact_source_product_entries
compact_source_D_entries,source_gap,0,0,0,certificates/sources/k3e_compact_hall/D_entries.csv,verified,no_compact_source_coproduct_entries
compact_source_G_entries,source_gap,0,0,0,certificates/sources/k3e_compact_hall/G_entries.csv,verified,no_compact_source_pairing_entries
compact_source_hopf_pairing_identity_rows,source_gap,0,0,0,certificates/sources/k3e_compact_hall/hopf_pairing_identities.csv,verified,no_Hopf_pairing_identity_rows
row342_product_operator_rows,import_gap,0,0,0,certificates/hall/finite_hall_product_operator/product_operator_rows.csv,verified,row342_has_no_populated_product_rows
row347_coproduct_operator_rows,import_gap,0,0,0,certificates/hall/finite_hall_coproduct_operator/coproduct_operator_rows.csv,verified,row347_has_no_populated_coproduct_rows
row350_bialgebra_compatibility_rows,import_gap,0,0,0,certificates/hall/finite_hall_bialgebra_compatibility/compatibility_rows.csv,verified,row350_has_no_bialgebra_rows
source_tensor_pairing_sign_rows,source_gap,0,0,0,blocked_obligations.csv,verified,no_tensor_pairing_sign_rows_supplied
