firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_bialgebra_compatibility,bialgebra_compatibility,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-coproduct-adjointness,verified,Delta_m_square_is_not_Hopf_pairing_adjointness
fw_pairing_invariance,pairing_invariance,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-coproduct-adjointness,verified,Lie_bracket_invariance_is_not_product_coproduct_adjointness
fw_target_hopf_form,target_hopf_form,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-coproduct-adjointness,verified,target_Hopf_form_does_not_supply_source_Hall_adjointness_rows
fw_formal_pairing_rows,formal_pairing_rows,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-coproduct-adjointness,verified,formal_degree_zero_pairing_rows_are_not_source_M_D_G_adjointness_rows
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-coproduct-adjointness,verified,scalar_trace_without_M_D_G_entries_does_not_prove_adjointness
fw_denominator_product,denominator_product,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-coproduct-adjointness,verified,denominator_multiplicities_do_not_define_Hopf_adjointness
fw_signed_dimension,signed_dimension,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-coproduct-adjointness,verified,signed_multiplicity_does_not_record_adjointness_defects
fw_empty_M_entries,empty_M_entries,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-coproduct-adjointness,verified,an_empty_M_table_has_no_product_values
fw_empty_D_entries,empty_D_entries,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-coproduct-adjointness,verified,an_empty_D_table_has_no_coproduct_values
fw_empty_G_entries,empty_G_entries,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-coproduct-adjointness,verified,an_empty_G_table_has_no_pairing_values
fw_empty_hopf_pairing_identities,empty_hopf_pairing_identities,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-coproduct-adjointness,verified,empty_Hopf_identity_rows_do_not_certify_current_source
fw_quotient_nondegeneracy,quotient_nondegeneracy,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-coproduct-adjointness,verified,nondegeneracy_is_a_later_row_not_adjointness
