firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_formal_pairing_rows,formal_pairing_rows,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-homogeneity,verified,formal_degree_zero_pairing_rows_are_not_source_G_entries
fw_target_pairing_blocks,target_pairing_blocks,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-homogeneity,verified,target_positive_negative_blocks_do_not_supply_compact_source_homogeneity_rows
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-homogeneity,verified,scalar_trace_without_source_G_entries_does_not_prove_homogeneity
fw_denominator_product,denominator_product,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-homogeneity,verified,denominator_multiplicities_do_not_define_pairing_homogeneity
fw_signed_dimension,signed_dimension,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-homogeneity,verified,signed_multiplicity_does_not_record_pairing_degree_defects
fw_row358_definition_only,row358_definition_only,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-homogeneity,verified,the_definition_of_G_is_not_the_homogeneity_defect_check
fw_row360_supersymmetry,row360_supersymmetry,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-homogeneity,verified,supersymmetry_is_a_later_identity_not_homogeneity
fw_row361_invariance,row361_invariance,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-homogeneity,verified,Frobenius_invariance_is_a_later_identity_not_homogeneity
fw_row362_coproduct,row362_coproduct,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-homogeneity,verified,coproduct_adjointness_is_a_later_identity_not_homogeneity
fw_empty_G_entries,empty_G_entries,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-homogeneity,verified,an_empty_G_table_has_no_source_homogeneity_rows
fw_empty_homogeneity_rows,empty_homogeneity_rows,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-homogeneity,verified,empty_homogeneity_rows_do_not_certify_current_source
