firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_formal_pairing_rows,formal_pairing_rows,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-invariance,verified,formal_degree_zero_pairing_rows_are_not_source_Frobenius_rows
fw_target_pairing_blocks,target_pairing_blocks,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-invariance,verified,target_positive_negative_blocks_do_not_supply_compact_source_invariance_rows
fw_target_invariant_pairing,target_invariant_pairing,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-invariance,verified,target_BKM_invariant_form_does_not_supply_source_Hall_cyclicity
fw_row360_supersymmetry_only,row360_supersymmetry_only,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-invariance,verified,supersymmetry_is_needed_but_not_Frobenius_cyclicity
fw_row357_parity_only,row357_parity_only,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-invariance,verified,bracket_parity_does_not_supply_Frobenius_defect_rows
fw_row355_jacobi_only,row355_jacobi_only,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-invariance,verified,Jacobi_identity_does_not_prove_invariance_of_a_pairing
fw_row337_serre_sign_criterion_only,row337_serre_sign_criterion_only,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-invariance,verified,the_Serre_sign_packet_records_a_criterion_without_source_sign_rows
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-invariance,verified,scalar_trace_without_source_B_and_G_entries_does_not_prove_invariance
fw_denominator_product,denominator_product,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-invariance,verified,denominator_multiplicities_do_not_define_Frobenius_cyclicity
fw_signed_dimension,signed_dimension,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-invariance,verified,signed_multiplicity_does_not_record_invariance_defects
fw_empty_G_entries,empty_G_entries,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-invariance,verified,an_empty_G_table_has_no_pairing_values
fw_empty_B_entries,empty_B_entries,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-invariance,verified,an_empty_B_table_has_no_bracket_values
fw_empty_hopf_pairing_identities,empty_hopf_pairing_identities,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-invariance,verified,empty_Hopf_identity_rows_do_not_certify_current_source
fw_coproduct_shortcut,coproduct_shortcut,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-invariance,verified,coproduct_adjointness_is_a_separate_row
