firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_formal_pairing_rows,formal_pairing_rows,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-supersymmetry,verified,formal_degree_zero_pairing_rows_are_not_source_signed_transpose_rows
fw_target_pairing_blocks,target_pairing_blocks,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-supersymmetry,verified,target_positive_negative_blocks_do_not_supply_compact_source_supersymmetry_rows
fw_row359_homogeneity_only,row359_homogeneity_only,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-supersymmetry,verified,homogeneity_reduces_blocks_but_does_not_compare_transposes
fw_row337_serre_sign_criterion_only,row337_serre_sign_criterion_only,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-supersymmetry,verified,the_Serre_sign_packet_records_a_criterion_without_source_sign_rows
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-supersymmetry,verified,scalar_trace_without_source_G_entries_does_not_prove_supersymmetry
fw_denominator_product,denominator_product,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-supersymmetry,verified,denominator_multiplicities_do_not_define_pairing_transpose_signs
fw_signed_dimension,signed_dimension,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-supersymmetry,verified,signed_multiplicity_does_not_record_pairing_transpose_defects
fw_empty_G_entries,empty_G_entries,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-supersymmetry,verified,an_empty_G_table_has_no_source_transpose_rows
fw_empty_supersymmetry_rows,empty_supersymmetry_rows,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-supersymmetry,verified,empty_supersymmetry_rows_do_not_certify_current_source
fw_invariance_shortcut,invariance_shortcut,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-supersymmetry,verified,Frobenius_invariance_is_a_separate_row
fw_coproduct_shortcut,coproduct_shortcut,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-supersymmetry,verified,coproduct_adjointness_is_a_separate_row
