firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_formal_pairing_rows,formal_pairing_rows,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-hall-positive-negative-pairing,verified,formal_degree_zero_pairing_rows_are_not_source_G_entries
fw_target_pairing_blocks,target_pairing_blocks,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-hall-positive-negative-pairing,verified,target_positive_negative_blocks_do_not_supply_compact_source_correspondences
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-hall-positive-negative-pairing,verified,scalar_trace_without_source_product_and_pairing_correspondence_does_not_define_G
fw_denominator_product,denominator_product,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-hall-positive-negative-pairing,verified,denominator_multiplicities_do_not_define_the_Hall_pairing_matrix
fw_signed_dimension,signed_dimension,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-hall-positive-negative-pairing,verified,signed_multiplicity_does_not_record_pairing_constants
fw_row359_homogeneity,row359_homogeneity,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-hall-positive-negative-pairing,verified,homogeneity_is_a_later_property_not_the_definition
fw_row360_supersymmetry,row360_supersymmetry,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-hall-positive-negative-pairing,verified,supersymmetry_is_a_later_identity_not_the_definition
fw_row361_invariance,row361_invariance,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-hall-positive-negative-pairing,verified,Frobenius_invariance_is_a_later_identity_not_the_definition
fw_row362_coproduct,row362_coproduct,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-hall-positive-negative-pairing,verified,coproduct_adjointness_is_a_later_identity_not_the_definition
fw_empty_G_entries,empty_G_entries,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-hall-positive-negative-pairing,verified,an_empty_G_table_is_not_a_pairing_matrix
fw_empty_hopf_identities,empty_hopf_pairing_identities,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-hall-positive-negative-pairing,verified,empty_identity_rows_do_not_prove_Hopf_pairing_properties
