firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_primitive_space_definition,primitive_space_definition,true,0,chapters/05_subsections/05_3_hall.tex:prop:hall-bialgebra-defects-primitive-closure,verified,row353_defines_P_R_but_does_not_prove_commutator_closure
fw_product_only,product_only,true,0,chapters/05_subsections/05_3_hall.tex:prop:hall-bialgebra-defects-primitive-closure,verified,product_without_coproduct_cannot_test_primitivity
fw_coproduct_only,coproduct_only,true,0,chapters/05_subsections/05_3_hall.tex:prop:hall-bialgebra-defects-primitive-closure,verified,coproduct_without_multiplicativity_does_not_control_Delta_of_bracket
fw_bialgebra_criterion_without_rows,bialgebra_criterion_without_rows,true,0,chapters/05_subsections/05_3_hall.tex:prop:hall-bialgebra-defects-primitive-closure,verified,row350_criterion_is_not_populated_source_bialgebra_data
fw_hopf_pairing,hopf_pairing,true,0,chapters/05_subsections/05_3_hall.tex:prop:hall-bialgebra-defects-primitive-closure,verified,Hopf_pairing_does_not_prove_closure_without_product_coproduct_rows
fw_target_root_space,target_root_space,true,0,chapters/05_subsections/05_3_hall.tex:prop:hall-bialgebra-defects-primitive-closure,verified,target_BKM_roots_are_not_source_bracket_closure_rows
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_3_hall.tex:prop:hall-bialgebra-defects-primitive-closure,verified,trace_forgets_the_bracket_and_reduced_coproduct_defect
fw_signed_multiplicity,signed_multiplicity,true,0,chapters/05_subsections/05_3_hall.tex:prop:hall-bialgebra-defects-primitive-closure,verified,signed_dimensions_do_not_supply_closure_defect_rows
fw_bar_coalgebra_primitives,bar_coalgebra_primitives,true,0,chapters/05_subsections/05_3_hall.tex:prop:hall-bialgebra-defects-primitive-closure,verified,bar_primitives_are_not_compact_Hall_supercommutator_closure
fw_jacobi_shortcut,jacobi_shortcut,true,0,chapters/05_subsections/05_3_hall.tex:prop:hall-bialgebra-defects-primitive-closure,verified,row354_does_not_claim_graded_Jacobi
