firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_product_only,product_only,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-hall-primitive-subspace,verified,Hall_product_does_not_define_bar_Delta_R
fw_raw_coproduct_without_counit,raw_coproduct_without_counit,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-hall-primitive-subspace,verified,reduced_coproduct_requires_eta_R_and_epsilon_R
fw_bialgebra_compatibility_criterion,bialgebra_compatibility_criterion,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-hall-primitive-subspace,verified,row350_criterion_does_not_supply_primitive_kernel_rows
fw_hopf_pairing,hopf_pairing,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-hall-primitive-subspace,verified,Hopf_pairing_rows_do_not_compute_ker_bar_Delta_R
fw_target_root_space,target_root_space,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-hall-primitive-subspace,verified,target_BKM_root_spaces_are_not_source_primitive_kernel_rows
fw_bar_coalgebra_primitives,bar_coalgebra_primitives,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-hall-primitive-subspace,verified,bar_coalgebra_primitives_do_not_replace_compact_Hall_kernel_computation
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-hall-primitive-subspace,verified,scalar_trace_forgets_the_reduced_coproduct_kernel
fw_signed_multiplicity,signed_multiplicity,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-hall-primitive-subspace,verified,signed_multiplicity_is_not_a_primitive_basis_with_parity_split
fw_rank_only_kernel,rank_only_kernel,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-hall-primitive-subspace,verified,rank_without_basis_inclusion_projection_is_not_the_finite_primitive_subspace_datum
fw_normal_ordering_map,normal_ordering_map,true,0,chapters/05_subsections/05_3_hall.tex:def:finite-hall-primitive-subspace,verified,normal_ordering_pushforward_does_not_compute_ker_bar_Delta_R
