firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_product_operator_notation,product_operator_notation,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-associativity-two-step-flags,verified,m_R_formula_does_not_prove_associativity
fw_q_bang_existence,q_bang_existence,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-associativity-two-step-flags,verified,existence_of_q_bang_for_one_product_leg_is_not_associativity
fw_compactification_independence,compactification_independence,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-associativity-two-step-flags,verified,choice_independence_is_one_input_to_associativity_not_the_associativity_identity
fw_hybrid_wordwise_associativity,hybrid_wordwise_associativity,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-associativity-two-step-flags,verified,conditional_hybrid_word_rows_do_not_populate_compact_m_R
fw_two_step_flag_stacks_only,two_step_flag_stacks_only,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-associativity-two-step-flags,verified,flag_stacks_without_functorial_comparisons_do_not_prove_associativity
fw_four_input_pentagon,four_input_pentagon,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-associativity-two-step-flags,verified,pentagon_coherence_is_not_the_binary_associativity_row_for_m_R
fw_product_matrix,product_matrix,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-associativity-two-step-flags,verified,matrix_entries_are_required_after_the_geometric_identity_not_a_substitute_for_it
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-associativity-two-step-flags,verified,a_trace_does_not_construct_or_compare_Hall_products
fw_signed_multiplicity,signed_multiplicity,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-associativity-two-step-flags,verified,signed_multiplicity_is_scalar_shadow
fw_target_product,target_product,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-associativity-two-step-flags,verified,target_BKM_product_is_not_source_compact_Hall_associativity
