coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
criterion_count,criterion_rows,1,1,0,criterion_rows.csv,verified,one_row345_common_refinement_criterion_recorded
independence_rows,independence_rows,0,0,0,independence_rows.csv,verified,no_populated_compactification_independence_rows_supplied
row342_product_operator_rows,product_operator,0,0,0,certificates/hall/finite_hall_product_operator/product_operator_rows.csv,verified,row342_has_no_product_operator_rows
row344_pushforward_rows,pushforward_functor,0,0,0,certificates/hall/finite_hall_product_pushforward_functor/pushforward_rows.csv,verified,row344_has_no_populated_q_bang_rows
compact_support_choice_independence_rows,compact_support_model,0,0,0,certificates/hybrid/compact_support_exceptional_pushforward_model/choice_independence_rows.csv,verified,no_choice_independence_rows
compact_support_map_population_rows,compact_support_model,0,0,0,certificates/hybrid/compact_support_exceptional_pushforward_model/map_population_rows.csv,verified,no_retained_correspondence_map_population_rows
compact_support_operation_rows,compact_support_model,2,2,0,certificates/hybrid/compact_support_exceptional_pushforward_model/operation_rows.csv,verified,formal_q_cs_bang_and_p_cs_bang_notation_defined
finite_moduli_extension_flag_rows,finite_moduli,0,0,0,certificates/moduli/k3e_finite_moduli/extension_flag_stacks.csv,verified,no_extension_or_flag_stack_rows_supplied
finite_moduli_cosection_atlas_rows,finite_moduli,0,0,0,certificates/moduli/k3e_finite_moduli/cosection_atlas.csv,verified,no_coefficient_or_dcritical_cosection_rows_supplied
source_product_matrix_rows,compact_hall_source,0,0,0,certificates/sources/k3e_compact_hall/M_entries.csv,verified,no_source_product_matrix_rows
