firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_q_bang_existence,q_bang_existence,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-qbang-compactification-independence,verified,existence_for_one_compactification_does_not_compare_two_compactifications
fw_compact_support_notation_only,compact_support_notation_only,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-qbang-compactification-independence,verified,q_cs_bang_notation_without_choice_independence_rows_is_not_independence
fw_single_compactification,single_compactification,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-qbang-compactification-independence,verified,a_single_compactification_has_no_comparison_pair
fw_properness_of_q_only,properness_of_q_only,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-qbang-compactification-independence,verified,properness_specializes_q_bang_but_does_not_compare_two_nonproper_models
fw_base_change,base_change,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-qbang-compactification-independence,verified,base_change_is_not_the_common_refinement_comparison_row
fw_projection_formula,projection_formula,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-qbang-compactification-independence,verified,projection_formula_is_later_functorial_coherence
fw_thom_sebastiani,thom_sebastiani,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-qbang-compactification-independence,verified,TS_transport_supplies_the_input_coefficient_not_compactification_independence
fw_product_matrix,product_matrix,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-qbang-compactification-independence,verified,matrix_entries_are_after_choice_independent_pull_TS_push_data
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-qbang-compactification-independence,verified,a_trace_does_not_construct_compactification_comparison
fw_signed_multiplicity,signed_multiplicity,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-qbang-compactification-independence,verified,signed_multiplicity_is_scalar_shadow
fw_target_product,target_product,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-qbang-compactification-independence,verified,target_BKM_product_is_not_source_compactification_independence
