coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
definition_count,definition_rows,1,1,0,definition_rows.csv,verified,one_row342_definition_recorded
product_operator_rows,product_operator_rows,0,0,0,product_operator_rows.csv,verified,no_populated_operator_rows_supplied
finite_hall_object_components,row341_object,0,0,0,certificates/hall/finite_geometric_hall_object/object_components.csv,verified,row341_object_not_populated
compact_support_operation_rows,compact_support_model,2,2,0,certificates/hybrid/compact_support_exceptional_pushforward_model/operation_rows.csv,verified,formal_q_cs_bang_and_p_cs_bang_notation_defined
compact_support_map_population_rows,compact_support_model,0,0,0,certificates/hybrid/compact_support_exceptional_pushforward_model/map_population_rows.csv,verified,no_retained_correspondence_map_population_rows
compactification_independence_rows,compact_support_model,0,0,0,certificates/hybrid/compact_support_exceptional_pushforward_model/choice_independence_rows.csv,verified,no_choice_independence_rows
base_change_rows,compact_support_model,0,0,0,certificates/hybrid/compact_support_exceptional_pushforward_model/base_change_rows.csv,verified,no_base_change_rows
projection_formula_rows,compact_support_model,0,0,0,certificates/hybrid/compact_support_exceptional_pushforward_model/projection_formula_rows.csv,verified,no_projection_formula_rows
thom_sebastiani_rows,compact_support_model,0,0,0,certificates/hybrid/compact_support_exceptional_pushforward_model/thom_sebastiani_rows.csv,verified,no_TS_rows_on_compact_support_model
source_product_matrix_rows,compact_hall_source,0,0,0,certificates/sources/k3e_compact_hall/M_entries.csv,verified,no_source_product_matrix_rows
transition_product_matrix_rows,transition_hall_product,0,0,0,certificates/hall/transition_hall_product_preservation/product_matrix_transport.csv,verified,no_product_transition_matrix_rows
