firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_row341_object_only,finite_Hall_object_only,true,0,chapters/05_subsections/05_3_hall.tex:def:compact-hall-product,verified,the_object_does_not_define_the_product_operator
fw_compact_support_notation_only,compact_support_notation_only,true,0,chapters/05_subsections/05_3_hall.tex:def:compact-hall-product,verified,q_cs_bang_notation_without_map_population_is_not_product_existence
fw_product_matrix,product_matrix,true,0,chapters/05_subsections/05_3_hall.tex:def:compact-hall-product,verified,matrix_entries_are_later_population_rows_not_the_definition
fw_associativity,associativity,true,0,chapters/05_subsections/05_3_hall.tex:def:compact-hall-product,verified,associativity_is_not_part_of_row342
fw_transition_preservation,transition_preservation,true,0,chapters/05_subsections/05_3_hall.tex:def:compact-hall-product,verified,transition_preservation_is_later_HN_compatibility
fw_coproduct,coproduct,true,0,chapters/05_subsections/05_3_hall.tex:def:compact-hall-product,verified,coproduct_is_a_separate_operation
fw_primitive_subspace,primitive_subspace,true,0,chapters/05_subsections/05_3_hall.tex:def:compact-hall-product,verified,primitive_subspace_requires_coproduct_and_counit
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_3_hall.tex:def:compact-hall-product,verified,a_trace_is_not_the_pull_TS_push_operator
fw_signed_multiplicity,signed_multiplicity,true,0,chapters/05_subsections/05_3_hall.tex:def:compact-hall-product,verified,signed_multiplicity_is_a_scalar_shadow
fw_target_product,target_product,true,0,chapters/05_subsections/05_3_hall.tex:def:compact-hall-product,verified,target_BKM_product_is_not_source_pull_push
fw_pfaffian_product,pfaffian_product,true,0,chapters/05_subsections/05_3_hall.tex:def:compact-hall-product,verified,Pfaffian_product_is_not_the_Hall_product_operator
fw_denominator_product,denominator_product,true,0,chapters/05_subsections/05_3_hall.tex:def:compact-hall-product,verified,Borcherds_denominator_product_does_not_define_m_R
