firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_product_operator_notation,product_operator_notation,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-pullback-existence,verified,m_R_formula_does_not_prove_p_star_exists
fw_finite_hall_object_only,finite_Hall_object_only,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-pullback-existence,verified,the_object_without_extension_map_does_not_define_pullback
fw_extension_closure_only,extension_closure_only,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-pullback-existence,verified,closure_of_classes_is_not_an_extension_stack_or_p_map
fw_compact_support_pushforward_model,compact_support_pushforward_model,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-pullback-existence,verified,q_bang_model_is_not_p_star_existence
fw_q_bang,q_bang,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-pullback-existence,verified,pushforward_is_a_separate_functorial_leg
fw_thom_sebastiani,thom_sebastiani,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-pullback-existence,verified,TS_transport_does_not_supply_the_pullback_functor
fw_product_matrix,product_matrix,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-pullback-existence,verified,matrix_entries_are_after_the_pull_TS_push_operation
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-pullback-existence,verified,a_trace_does_not_construct_p_star
fw_signed_multiplicity,signed_multiplicity,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-pullback-existence,verified,signed_multiplicity_is_scalar_shadow
fw_target_root_window,target_root_window,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-pullback-existence,verified,target_window_is_not_source_extension_geometry
