coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
criterion_count,criterion_rows,1,1,0,criterion_rows.csv,verified,one_row344_criterion_recorded
pushforward_rows,pushforward_rows,0,0,0,pushforward_rows.csv,verified,no_populated_q_bang_rows_supplied
row342_product_operator_rows,product_operator,0,0,0,certificates/hall/finite_hall_product_operator/product_operator_rows.csv,verified,row342_has_no_product_operator_rows
row343_pullback_rows,pullback_functor,0,0,0,certificates/hall/finite_hall_product_pullback_functor/pullback_rows.csv,verified,row343_has_no_populated_p_star_rows
finite_moduli_extension_flag_rows,finite_moduli,0,0,0,certificates/moduli/k3e_finite_moduli/extension_flag_stacks.csv,verified,no_extension_or_flag_stack_rows_supplied
finite_moduli_cosection_atlas_rows,finite_moduli,0,0,0,certificates/moduli/k3e_finite_moduli/cosection_atlas.csv,verified,no_coefficient_or_dcritical_cosection_rows_supplied
finite_hall_object_components,row341_object,0,0,0,certificates/hall/finite_geometric_hall_object/object_components.csv,verified,row341_has_no_object_component_rows
compact_support_operation_rows,compact_support_model,2,2,0,certificates/hybrid/compact_support_exceptional_pushforward_model/operation_rows.csv,verified,formal_q_cs_bang_and_p_cs_bang_notation_defined
compact_support_map_population_rows,compact_support_model,0,0,0,certificates/hybrid/compact_support_exceptional_pushforward_model/map_population_rows.csv,verified,no_retained_correspondence_map_population_rows
compactification_independence_rows,compact_support_model,0,0,0,certificates/hybrid/compact_support_exceptional_pushforward_model/choice_independence_rows.csv,verified,no_choice_independence_rows
base_change_rows,compact_support_model,0,0,0,certificates/hybrid/compact_support_exceptional_pushforward_model/base_change_rows.csv,verified,no_base_change_rows
projection_formula_rows,compact_support_model,0,0,0,certificates/hybrid/compact_support_exceptional_pushforward_model/projection_formula_rows.csv,verified,no_projection_formula_rows
compact_support_thom_sebastiani_rows,compact_support_model,0,0,0,certificates/hybrid/compact_support_exceptional_pushforward_model/thom_sebastiani_rows.csv,verified,no_TS_rows_on_compact_support_model
source_product_matrix_rows,compact_hall_source,0,0,0,certificates/sources/k3e_compact_hall/M_entries.csv,verified,no_source_product_matrix_rows
