firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_product_operator_notation,product_operator_notation,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-pushforward-existence,verified,m_R_formula_does_not_prove_q_bang_exists
fw_pullback_functor,pullback_functor,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-pushforward-existence,verified,p_star_criterion_does_not_construct_q_bang
fw_compact_support_notation_only,compact_support_notation_only,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-pushforward-existence,verified,q_cs_bang_notation_without_map_population_is_not_actual_q_bang
fw_properness_of_some_target_map,properness_of_some_target_map,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-pushforward-existence,verified,properness_must_belong_to_the_retained_Hall_q_map
fw_compactification_independence,compactification_independence,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-pushforward-existence,verified,independence_is_row345_not_row344
fw_base_change,base_change,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-pushforward-existence,verified,base_change_does_not_supply_the_q_map_or_compactification
fw_projection_formula,projection_formula,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-pushforward-existence,verified,projection_formula_is_later_functorial_coherence
fw_thom_sebastiani,thom_sebastiani,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-pushforward-existence,verified,TS_transport_supplies_the_input_coefficient_not_the_pushforward_map
fw_product_matrix,product_matrix,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-pushforward-existence,verified,matrix_entries_are_after_the_pull_TS_push_operation
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-pushforward-existence,verified,a_trace_does_not_construct_q_bang
fw_signed_multiplicity,signed_multiplicity,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-pushforward-existence,verified,signed_multiplicity_is_scalar_shadow
fw_target_product,target_product,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-pushforward-existence,verified,target_BKM_product_is_not_source_exceptional_pushforward
