coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
criterion_count,local,1,1,0,criterion_rows.csv,verified,one_row363_quotient_nondegeneracy_criterion
local_qnd_rows,current_packet,0,0,0,quotient_nondegeneracy_rows.csv,verified,no_current_source_quotient_nondegeneracy_rows
compact_source_G_entries,source_gap,0,0,0,certificates/sources/k3e_compact_hall/G_entries.csv,verified,no_compact_source_G_entries
compact_source_K_entries,source_gap,0,0,0,certificates/sources/k3e_compact_hall/K_entries.csv,verified,no_compact_source_K_entries
compact_source_Q_entries,source_gap,0,0,0,certificates/sources/k3e_compact_hall/Q_entries.csv,verified,no_compact_source_Q_entries
compact_source_hopf_pairing_identity_rows,source_gap,0,0,0,certificates/sources/k3e_compact_hall/hopf_pairing_identities.csv,verified,no_Hopf_pairing_identity_rows
pairing_kernel_lim1_rows,import_gap,0,0,0,certificates/hall/pairing_kernel_lim1_vanishing/pairing_kernel_ml_r1lim_defects.csv,verified,no_pairing_kernel_lim1_rows
transition_radical_rows,import_gap,0,0,0,certificates/hall/transition_radical_preservation/radical_transition_matrices.csv,verified,no_transition_radical_rows
source_quotient_rank_rows,source_gap,0,0,0,blocked_obligations.csv,verified,no_quotient_rank_rows_supplied
source_determinant_rows,source_gap,0,0,0,blocked_obligations.csv,verified,no_quotient_determinant_rows_supplied
