firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
fw_hopf_adjointness,hopf_adjointness,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-quotient-pairing-nondegeneracy,verified,adjointness_does_not_prove_full_rank_of_the_quotient_pairing
fw_pairing_invariance,pairing_invariance,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-quotient-pairing-nondegeneracy,verified,Lie_invariance_does_not_prove_nonzero_determinant
fw_supersymmetry,supersymmetry,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-quotient-pairing-nondegeneracy,verified,supersymmetry_does_not_prove_non_degeneracy
fw_target_radical,target_radical_table,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-quotient-pairing-nondegeneracy,verified,target_radical_tables_do_not_supply_source_K_Q_rows
fw_rank_equality_only,rank_equality_only,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-quotient-pairing-nondegeneracy,verified,rank_equality_without_the_quotient_pairing_matrix_is_not_a_proof
fw_signed_dimension,signed_dimension,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-quotient-pairing-nondegeneracy,verified,signed_multiplicity_does_not_determine_full_rank
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-quotient-pairing-nondegeneracy,verified,scalar_trace_without_G_K_Q_rows_does_not_prove_nondegeneracy
fw_denominator_product,denominator_product,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-quotient-pairing-nondegeneracy,verified,denominator_multiplicities_do_not_compute_quotient_pairing_rank
fw_empty_G_entries,empty_G_entries,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-quotient-pairing-nondegeneracy,verified,an_empty_G_table_has_no_pairing_values
fw_empty_K_entries,empty_K_entries,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-quotient-pairing-nondegeneracy,verified,an_empty_K_table_has_no_radical_basis
fw_empty_Q_entries,empty_Q_entries,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-quotient-pairing-nondegeneracy,verified,an_empty_Q_table_has_no_quotient_basis
fw_transition_radical,transition_radical_preservation,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-quotient-pairing-nondegeneracy,verified,transition_preservation_is_a_later_tower_statement
fw_pairing_kernel_lim1,pairing_kernel_lim1,true,0,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-quotient-pairing-nondegeneracy,verified,lim1_vanishing_is_not_finite_stage_nondegeneracy
