firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
firewall_scalar_trace,scalar_trace,true,0,chapters/09_zbps_realization.tex,verified,a scalar trace is not a parity transition identity
firewall_denominator_product,denominator_product,true,0,chapters/04_view2_bkm.tex,verified,the Borcherds product is a target denominator and not a compact source parity transition map
firewall_signed_superdimension,signed_superdimension,true,0,chapters/05_subsections/05_6_primitive_recognition.tex,verified,signed superdimension does not determine even and odd transition blocks
firewall_target_parity_table,target_parity_table,true,0,certificates/targets/delta5_gn_kac/wle3_target_parity,verified,target parity counts do not supply compact source parity-preserving transitions
firewall_parity_rank_equality_only,parity_rank_equality_only,true,0,certificates/sources/k3e_compact_hall/parity_blocks.csv,verified,rank equality without transition matrices does not prove parity preservation
firewall_parity_pushforward_only,parity_pushforward_only,true,0,certificates/charge/parity_pushforward,verified,formal pushforward of a supplied parity split is not transition preservation in the compact Hall tower
firewall_primitive_transition_only,primitive_transition_only,true,0,certificates/hall/transition_primitive_subspace_preservation,verified,primitive transition preservation does not prove block diagonal parity preservation
firewall_radical_transition_only,radical_transition_only,true,0,certificates/hall/transition_radical_preservation,verified,radical transition preservation does not supply fermion parity involutions or off diagonal zero blocks
firewall_pbw_transition_only,pbw_transition_only,true,0,certificates/hall/transition_pbw_filtration_preservation,verified,PBW filteredness does not imply evenness of the transition map
firewall_chevalley_antiinvolution_only,chevalley_antiinvolution_only,true,0,chapters/05_subsections/05_6_primitive_recognition.tex,verified,negative-root parity transport does not prove finite HN transition block diagonal preservation
firewall_hilbert_series_only,hilbert_series_only,true,0,chapters/05_subsections/05_6_primitive_recognition.tex,verified,Hilbert series data do not determine parity transition blocks
firewall_abstract_super_vector_space,abstract_super_vector_space,true,0,certificates/charge/parity_pushforward,verified,an abstract super vector space without compact transition provenance is not a K3xE parity transition row
