comparison_id,word,map_symbol,parenthesization,domain_stack_id,target_fibre_product_id,inner_pair_type,outer_pair_type,constructed,before_e_quotient,proof_reference,check_status,notes
lambda_LLL,LLL,lambda,left,F2_LLL_R,E_LL_x_M_L_E_LL,LL,LL,true,true,chapters/05_subsections/05_1_hybrid.tex:prop:eight-two-step-flag-stacks,verified,left_parenthesization_comparison
rho_LLL,LLL,rho,right,F2_LLL_R,E_LL_x_M_L_E_LL,LL,LL,true,true,chapters/05_subsections/05_1_hybrid.tex:prop:eight-two-step-flag-stacks,verified,right_parenthesization_comparison
lambda_LLW,LLW,lambda,left,F2_LLW_R,E_LW_x_M_L_E_LL,LL,LW,true,true,chapters/05_subsections/05_1_hybrid.tex:prop:eight-two-step-flag-stacks,verified,left_parenthesization_comparison
rho_LLW,LLW,rho,right,F2_LLW_R,E_LW_x_M_W_E_LW,LW,LW,true,true,chapters/05_subsections/05_1_hybrid.tex:prop:eight-two-step-flag-stacks,verified,right_parenthesization_comparison
lambda_LWL,LWL,lambda,left,F2_LWL_R,E_WL_x_M_W_E_LW,LW,WL,true,true,chapters/05_subsections/05_1_hybrid.tex:prop:eight-two-step-flag-stacks,verified,left_parenthesization_comparison
rho_LWL,LWL,rho,right,F2_LWL_R,E_LW_x_M_W_E_WL,WL,LW,true,true,chapters/05_subsections/05_1_hybrid.tex:prop:eight-two-step-flag-stacks,verified,right_parenthesization_comparison
lambda_WLL,WLL,lambda,left,F2_WLL_R,E_WL_x_M_W_E_WL,WL,WL,true,true,chapters/05_subsections/05_1_hybrid.tex:prop:eight-two-step-flag-stacks,verified,left_parenthesization_comparison
rho_WLL,WLL,rho,right,F2_WLL_R,E_WL_x_M_L_E_LL,LL,WL,true,true,chapters/05_subsections/05_1_hybrid.tex:prop:eight-two-step-flag-stacks,verified,right_parenthesization_comparison
lambda_LWW,LWW,lambda,left,F2_LWW_R,E_WW_x_M_W_E_LW,LW,WW,true,true,chapters/05_subsections/05_1_hybrid.tex:prop:eight-two-step-flag-stacks,verified,left_parenthesization_comparison
rho_LWW,LWW,rho,right,F2_LWW_R,E_LW_x_M_W_E_WW,WW,LW,true,true,chapters/05_subsections/05_1_hybrid.tex:prop:eight-two-step-flag-stacks,verified,right_parenthesization_comparison
lambda_WLW,WLW,lambda,left,F2_WLW_R,E_WW_x_M_W_E_WL,WL,WW,true,true,chapters/05_subsections/05_1_hybrid.tex:prop:eight-two-step-flag-stacks,verified,left_parenthesization_comparison
rho_WLW,WLW,rho,right,F2_WLW_R,E_WW_x_M_W_E_LW,LW,WW,true,true,chapters/05_subsections/05_1_hybrid.tex:prop:eight-two-step-flag-stacks,verified,right_parenthesization_comparison
lambda_WWL,WWL,lambda,left,F2_WWL_R,E_WL_x_M_W_E_WW,WW,WL,true,true,chapters/05_subsections/05_1_hybrid.tex:prop:eight-two-step-flag-stacks,verified,left_parenthesization_comparison
rho_WWL,WWL,rho,right,F2_WWL_R,E_WW_x_M_W_E_WL,WL,WW,true,true,chapters/05_subsections/05_1_hybrid.tex:prop:eight-two-step-flag-stacks,verified,right_parenthesization_comparison
lambda_WWW,WWW,lambda,left,F2_WWW_R,E_WW_x_M_W_E_WW,WW,WW,true,true,chapters/05_subsections/05_1_hybrid.tex:prop:eight-two-step-flag-stacks,verified,left_parenthesization_comparison
rho_WWW,WWW,rho,right,F2_WWW_R,E_WW_x_M_W_E_WW,WW,WW,true,true,chapters/05_subsections/05_1_hybrid.tex:prop:eight-two-step-flag-stacks,verified,right_parenthesization_comparison
