flag_id,four_input_word,flag_stack_id,epsilon_1,epsilon_2,epsilon_3,epsilon_4,final_type,retained_flag_quot_model,finite_type,retained_intermediates,wrapped_rigidifications_retained,before_e_quotient,proof_reference,check_status,notes
flag4_LLLL,LLLL,F3_LLLL_R,L,L,L,L,L,true,true,true,false,true,chapters/05_subsections/05_1_hybrid.tex:prop:four-input-pentagon-coherence,verified,pure_local_four_step_flag_stack
flag4_LLLW,LLLW,F3_LLLW_R,L,L,L,W,W,true,true,true,true,true,chapters/05_subsections/05_1_hybrid.tex:prop:four-input-pentagon-coherence,verified,local_local_local_wrapped_four_step_flag_stack
flag4_LLWL,LLWL,F3_LLWL_R,L,L,W,L,W,true,true,true,true,true,chapters/05_subsections/05_1_hybrid.tex:prop:four-input-pentagon-coherence,verified,local_local_wrapped_local_four_step_flag_stack
flag4_LWLL,LWLL,F3_LWLL_R,L,W,L,L,W,true,true,true,true,true,chapters/05_subsections/05_1_hybrid.tex:prop:four-input-pentagon-coherence,verified,local_wrapped_local_local_four_step_flag_stack
flag4_WLLL,WLLL,F3_WLLL_R,W,L,L,L,W,true,true,true,true,true,chapters/05_subsections/05_1_hybrid.tex:prop:four-input-pentagon-coherence,verified,wrapped_local_local_local_four_step_flag_stack
flag4_LLWW,LLWW,F3_LLWW_R,L,L,W,W,W,true,true,true,true,true,chapters/05_subsections/05_1_hybrid.tex:prop:four-input-pentagon-coherence,verified,local_local_wrapped_wrapped_four_step_flag_stack
flag4_LWLW,LWLW,F3_LWLW_R,L,W,L,W,W,true,true,true,true,true,chapters/05_subsections/05_1_hybrid.tex:prop:four-input-pentagon-coherence,verified,local_wrapped_local_wrapped_four_step_flag_stack
flag4_LWWL,LWWL,F3_LWWL_R,L,W,W,L,W,true,true,true,true,true,chapters/05_subsections/05_1_hybrid.tex:prop:four-input-pentagon-coherence,verified,local_wrapped_wrapped_local_four_step_flag_stack
flag4_WLLW,WLLW,F3_WLLW_R,W,L,L,W,W,true,true,true,true,true,chapters/05_subsections/05_1_hybrid.tex:prop:four-input-pentagon-coherence,verified,wrapped_local_local_wrapped_four_step_flag_stack
flag4_WLWL,WLWL,F3_WLWL_R,W,L,W,L,W,true,true,true,true,true,chapters/05_subsections/05_1_hybrid.tex:prop:four-input-pentagon-coherence,verified,wrapped_local_wrapped_local_four_step_flag_stack
flag4_WWLL,WWLL,F3_WWLL_R,W,W,L,L,W,true,true,true,true,true,chapters/05_subsections/05_1_hybrid.tex:prop:four-input-pentagon-coherence,verified,wrapped_wrapped_local_local_four_step_flag_stack
flag4_LWWW,LWWW,F3_LWWW_R,L,W,W,W,W,true,true,true,true,true,chapters/05_subsections/05_1_hybrid.tex:prop:four-input-pentagon-coherence,verified,local_wrapped_wrapped_wrapped_four_step_flag_stack
flag4_WLWW,WLWW,F3_WLWW_R,W,L,W,W,W,true,true,true,true,true,chapters/05_subsections/05_1_hybrid.tex:prop:four-input-pentagon-coherence,verified,wrapped_local_wrapped_wrapped_four_step_flag_stack
flag4_WWLW,WWLW,F3_WWLW_R,W,W,L,W,W,true,true,true,true,true,chapters/05_subsections/05_1_hybrid.tex:prop:four-input-pentagon-coherence,verified,wrapped_wrapped_local_wrapped_four_step_flag_stack
flag4_WWWL,WWWL,F3_WWWL_R,W,W,W,L,W,true,true,true,true,true,chapters/05_subsections/05_1_hybrid.tex:prop:four-input-pentagon-coherence,verified,wrapped_wrapped_wrapped_local_four_step_flag_stack
flag4_WWWW,WWWW,F3_WWWW_R,W,W,W,W,W,true,true,true,true,true,chapters/05_subsections/05_1_hybrid.tex:prop:four-input-pentagon-coherence,verified,wrapped_wrapped_wrapped_wrapped_four_step_flag_stack
