pentagon_id,four_input_word,flag_stack_id,left_path_id,right_path_id,uses_wrapped_wrapped_product,conditional_on_functorial_rows,pentagon_defect_rank,proof_reference,check_status,notes
pent_LLLL,LLLL,F3_LLLL_R,assoc_12_3_4_then_assoc_1_2_34,assoc_1_2_3_then_assoc_1_23_4_then_assoc_2_3_4,false,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:four-input-pentagon-coherence,verified,pure_local_mac_lane_pentagon
pent_LLLW,LLLW,F3_LLLW_R,assoc_12_3_4_then_assoc_1_2_34,assoc_1_2_3_then_assoc_1_23_4_then_assoc_2_3_4,false,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:four-input-pentagon-coherence,verified,single_wrapped_mac_lane_pentagon
pent_LLWL,LLWL,F3_LLWL_R,assoc_12_3_4_then_assoc_1_2_34,assoc_1_2_3_then_assoc_1_23_4_then_assoc_2_3_4,false,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:four-input-pentagon-coherence,verified,single_wrapped_mac_lane_pentagon
pent_LWLL,LWLL,F3_LWLL_R,assoc_12_3_4_then_assoc_1_2_34,assoc_1_2_3_then_assoc_1_23_4_then_assoc_2_3_4,false,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:four-input-pentagon-coherence,verified,single_wrapped_mac_lane_pentagon
pent_WLLL,WLLL,F3_WLLL_R,assoc_12_3_4_then_assoc_1_2_34,assoc_1_2_3_then_assoc_1_23_4_then_assoc_2_3_4,false,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:four-input-pentagon-coherence,verified,single_wrapped_mac_lane_pentagon
pent_LLWW,LLWW,F3_LLWW_R,assoc_12_3_4_then_assoc_1_2_34,assoc_1_2_3_then_assoc_1_23_4_then_assoc_2_3_4,true,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:four-input-pentagon-coherence,verified,WW_functoriality_hypothesis_used
pent_LWLW,LWLW,F3_LWLW_R,assoc_12_3_4_then_assoc_1_2_34,assoc_1_2_3_then_assoc_1_23_4_then_assoc_2_3_4,true,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:four-input-pentagon-coherence,verified,WW_functoriality_hypothesis_used
pent_LWWL,LWWL,F3_LWWL_R,assoc_12_3_4_then_assoc_1_2_34,assoc_1_2_3_then_assoc_1_23_4_then_assoc_2_3_4,true,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:four-input-pentagon-coherence,verified,WW_functoriality_hypothesis_used
pent_WLLW,WLLW,F3_WLLW_R,assoc_12_3_4_then_assoc_1_2_34,assoc_1_2_3_then_assoc_1_23_4_then_assoc_2_3_4,true,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:four-input-pentagon-coherence,verified,WW_functoriality_hypothesis_used
pent_WLWL,WLWL,F3_WLWL_R,assoc_12_3_4_then_assoc_1_2_34,assoc_1_2_3_then_assoc_1_23_4_then_assoc_2_3_4,true,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:four-input-pentagon-coherence,verified,WW_functoriality_hypothesis_used
pent_WWLL,WWLL,F3_WWLL_R,assoc_12_3_4_then_assoc_1_2_34,assoc_1_2_3_then_assoc_1_23_4_then_assoc_2_3_4,true,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:four-input-pentagon-coherence,verified,WW_functoriality_hypothesis_used
pent_LWWW,LWWW,F3_LWWW_R,assoc_12_3_4_then_assoc_1_2_34,assoc_1_2_3_then_assoc_1_23_4_then_assoc_2_3_4,true,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:four-input-pentagon-coherence,verified,WW_functoriality_hypothesis_used
pent_WLWW,WLWW,F3_WLWW_R,assoc_12_3_4_then_assoc_1_2_34,assoc_1_2_3_then_assoc_1_23_4_then_assoc_2_3_4,true,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:four-input-pentagon-coherence,verified,WW_functoriality_hypothesis_used
pent_WWLW,WWLW,F3_WWLW_R,assoc_12_3_4_then_assoc_1_2_34,assoc_1_2_3_then_assoc_1_23_4_then_assoc_2_3_4,true,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:four-input-pentagon-coherence,verified,WW_functoriality_hypothesis_used
pent_WWWL,WWWL,F3_WWWL_R,assoc_12_3_4_then_assoc_1_2_34,assoc_1_2_3_then_assoc_1_23_4_then_assoc_2_3_4,true,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:four-input-pentagon-coherence,verified,WW_functoriality_hypothesis_used
pent_WWWW,WWWW,F3_WWWW_R,assoc_12_3_4_then_assoc_1_2_34,assoc_1_2_3_then_assoc_1_23_4_then_assoc_2_3_4,true,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:four-input-pentagon-coherence,verified,WW_functoriality_hypothesis_used
