firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
firewall_base_change_component_only,base_change_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-preserves-base-change,verified,base_change_square_zero_is_not_full_quotient_residual_zero
firewall_pushforward_base_change_claim,compact_support_pushforward_base_change_claim,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-preserves-base-change,verified,stack_square_preservation_is_not_a_q_bang_base_change_isomorphism
firewall_coefficient_pullback_claim,coefficient_pullback_claim,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-preserves-base-change,verified,vanishing_cycle_coefficient_pullback_is_not_supplied_here
firewall_projection_formula_claim,projection_formula_claim,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-preserves-base-change,verified,projection_formula_is_not_a_stack_cartesian_square
firewall_quotient_first,quotient_first,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-excludes-quotient-first,verified,base_change_square_preservation_for_after_correspondence_stacks_is_not_a_quotient_first_Hall_product
firewall_ts_from_base_change,thom_sebastiani_from_base_change,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-preserves-base-change,verified,TS_descent_is_not_derived_from_the_base_change_theorem_and_is_supplied_separately
firewall_flag_component_only,flag_coherence_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-theta-mu-associativity,verified,flag_coherence_does_not_zero_transition_or_aggregate_residuals
firewall_bm_component_only,bm_chain_functor_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-borel-moore-chain-functor,verified,Q_E_R_on_BM_chains_is_not_base_change_preservation
firewall_theta_component_only,theta_mu_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-theta-mu-comparison,verified,theta_mu_maps_do_not_zero_transition_or_aggregate_residuals
firewall_Q_transition_component_only,Q_E_R_transition_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-hn-transition-compatibility,verified,Q_E_R_transition_compatibility_does_not_prove_compact_support_pushforward_base_change
firewall_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-preserves-base-change,verified,scalar_trace_is_not_a_cartesian_square_theorem
firewall_empty_hybrid_carrier,empty_hybrid_carrier,true,0,certificates/hybrid/k3e_hybrid_carrier/manifest.json,verified,aggregate_carrier_population_remains_separate
