firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
firewall_bm_component_only,bm_chain_functor_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-borel-moore-chain-functor,verified,Q_E_R_on_chains_is_not_full_quotient_residual_zero
firewall_q_bang_trace,q_bang_trace,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-borel-moore-chain-functor,verified,Q_E_R_is_descent_not_integration_along_E
firewall_theta_component_only,theta_mu_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-theta-mu-comparison,verified,theta_mu_maps_do_not_zero_transition_or_aggregate_residuals
firewall_pull_push_comparison,pull_push_operation_comparison_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-theta-mu-comparison,verified,pull_push_operation_comparison_is_not_full_hybrid_carrier_population
firewall_compact_support_base_change,compact_support_pushforward_base_change_claim,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-borel-moore-chain-functor,verified,chain_descent_is_not_compact_support_base_change
firewall_flag_component_only,flag_coherence_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-theta-mu-associativity,verified,flag_coherence_does_not_zero_transition_or_aggregate_residuals
firewall_Q_transition_component_only,Q_E_R_transition_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-hn-transition-compatibility,verified,Q_E_R_transition_compatibility_does_not_define_I_R_prot
firewall_protected_integration,protected_integration_claim,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-borel-moore-chain-functor,verified,Q_E_R_is_not_I_R_prot
firewall_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-borel-moore-chain-functor,verified,scalar_trace_is_not_BM_descent_functor
firewall_empty_hybrid_carrier,empty_hybrid_carrier,true,0,certificates/hybrid/k3e_hybrid_carrier/manifest.json,verified,aggregate_carrier_population_remains_separate
