firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
firewall_composition_component_only,composition_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-preserves-composition,verified,composition_zero_is_not_full_quotient_residual_zero
firewall_quotient_first,quotient_first,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-excludes-quotient-first,verified,composition_preservation_for_after_correspondence_spans_is_not_a_quotient_first_Hall_product
firewall_object_quotient_only,object_quotient_only,true,0,chapters/05_subsections/05_1_hybrid.tex:def:quotient-after-correspondence-pseudofunctor,verified,object_quotients_without_arrow_assignment_do_not_define_composition_preservation
firewall_base_change_from_composition,base_change_from_composition,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-preserves-composition,verified,base_change_is_not_derived_from_the_composition_theorem_and_is_supplied_separately
firewall_ts_from_composition,thom_sebastiani_from_composition,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-preserves-composition,verified,TS_descent_is_not_derived_from_the_composition_theorem_and_is_supplied_separately
firewall_flag_component_only,flag_coherence_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-theta-mu-associativity,verified,flag_coherence_does_not_zero_transition_or_aggregate_residuals
firewall_bm_component_only,bm_chain_functor_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-borel-moore-chain-functor,verified,Q_E_R_on_BM_chains_is_not_composition_preservation
firewall_theta_component_only,theta_mu_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-theta-mu-comparison,verified,theta_mu_maps_do_not_zero_transition_or_aggregate_residuals
firewall_Q_transition_component_only,Q_E_R_transition_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-hn-transition-compatibility,verified,Q_E_R_transition_compatibility_does_not_populate_the_aggregate_carrier
firewall_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-preserves-composition,verified,scalar_trace_is_not_a_correspondence_composition_theorem
firewall_empty_hybrid_carrier,empty_hybrid_carrier,true,0,certificates/hybrid/k3e_hybrid_carrier/manifest.json,verified,aggregate_carrier_population_remains_separate
