firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
firewall_quotient_first,quotient_first,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-excludes-quotient-first,verified,correspondence_stack_is_formed_before_applying_the_E_quotient
firewall_object_quotient_only,object_quotient_only,true,0,chapters/05_subsections/05_1_hybrid.tex:def:quotient-after-correspondence-pseudofunctor,verified,object_quotients_without_arrow_assignment_do_not_define_the_pseudofunctor
firewall_composition_component_only,composition_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-preserves-composition,verified,composition_zero_is_not_full_quotient_residual_zero
firewall_base_change_component_only,base_change_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-preserves-base-change,verified,base_change_zero_is_not_full_quotient_residual_zero
firewall_pushforward_base_change_claim,compact_support_pushforward_base_change_claim,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-preserves-base-change,verified,stack_square_preservation_is_not_a_q_bang_base_change_isomorphism
firewall_ts_component_only,thom_sebastiani_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-preserves-thom-sebastiani,verified,TS_descent_zero_is_not_full_quotient_residual_zero
firewall_unreduced_ts_claim,unreduced_bbdjs_ts_construction_claim,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-preserves-thom-sebastiani,verified,quotient_descent_requires_unreduced_TS_as_input
firewall_bm_component_only,bm_chain_functor_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-borel-moore-chain-functor,verified,Q_E_R_on_BM_chains_is_not_full_quotient_residual_zero
firewall_theta_component_only,theta_mu_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-theta-mu-comparison,verified,theta_mu_maps_without_associativity_naturality_are_not_full_quotient_coherence
firewall_flag_component_only,flag_coherence_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-theta-mu-associativity,verified,flag_coherence_does_not_zero_transition_or_aggregate_residuals
firewall_Q_transition_component_only,Q_E_R_transition_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-hn-transition-compatibility,verified,Q_E_R_transition_compatibility_does_not_populate_the_aggregate_carrier
firewall_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_1_hybrid.tex:def:quotient-after-correspondence-pseudofunctor,verified,scalar_trace_is_not_a_correspondence_pseudofunctor
firewall_empty_hybrid_carrier,empty_hybrid_carrier,true,0,certificates/hybrid/k3e_hybrid_carrier/manifest.json,verified,aggregate_carrier_population_remains_separate
