firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
firewall_quotient_first_without_presentation,quotient_first_without_quotient_presentation,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-excludes-quotient-first,verified,independent_reduced_middle_stack_is_not_in_the_image
firewall_object_quotient_only,object_quotient_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-excludes-quotient-first,verified,object_quotients_without_arrow_quotient_presentations_do_not_define_the_pseudofunctor
firewall_independent_reduced_extension_stack,independent_reduced_extension_stack,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-excludes-quotient-first,verified,middle_stack_must_be_bracket_Ee_slash_E
firewall_composition_component_claim,composition_component_claim,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-excludes-quotient-first,verified,order_exclusion_is_not_composition_preservation
firewall_base_change_component_claim,base_change_component_claim,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-excludes-quotient-first,verified,order_exclusion_is_not_stack_base_change
firewall_thom_sebastiani_component_claim,thom_sebastiani_component_claim,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-excludes-quotient-first,verified,order_exclusion_is_not_TS_descent
firewall_flag_component_only,flag_coherence_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-theta-mu-associativity,verified,flag_coherence_does_not_zero_transition_or_aggregate_residuals
firewall_bm_component_only,bm_chain_functor_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-borel-moore-chain-functor,verified,Q_E_R_on_BM_chains_is_not_quotient_first_exclusion
firewall_theta_component_only,theta_mu_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-theta-mu-comparison,verified,theta_mu_maps_do_not_zero_transition_or_aggregate_residuals
firewall_Q_transition_component_only,Q_E_R_transition_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-hn-transition-compatibility,verified,Q_E_R_transition_compatibility_does_not_license_quotient_first_products
firewall_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-excludes-quotient-first,verified,scalar_trace_is_not_a_correspondence_order_statement
firewall_empty_hybrid_carrier,empty_hybrid_carrier,true,0,certificates/hybrid/k3e_hybrid_carrier/manifest.json,verified,aggregate_carrier_population_remains_separate
