firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
firewall_associativity_component_only,theta_associativity_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-theta-mu-associativity,verified,associativity_compatibility_does_not_zero_coproduct_primitive_transition_or_integration_rows
firewall_theta_component_only,theta_mu_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-theta-mu-comparison,verified,theta_mu_maps_without_flag_naturality_are_not_row_253
firewall_flag_stack_only,flag_stack_only,true,0,certificates/hybrid/eight_word_two_step_flag_stacks/manifest.json,verified,flag_stacks_without_theta_naturality_do_not_prove_row_253
firewall_word_associativity_only,word_associativity_only,true,0,certificates/hybrid/www_associativity/manifest.json,verified,prequotient_associativity_alone_does_not_identify_quotient_theta_square
firewall_coproduct_component_only,theta_coproduct_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-theta-mu-coproduct,verified,coproduct_compatibility_does_not_zero_primitive_transition_or_integration_rows
firewall_primitive_component_only,theta_primitive_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-theta-mu-primitives,verified,primitive_compatibility_does_not_zero_transition_or_integration_rows
firewall_Q_transition_component_only,Q_E_R_transition_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-hn-transition-compatibility,verified,Q_E_R_transition_compatibility_does_not_prove_protected_integration
firewall_protected_integration,protected_integration_claim,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-theta-mu-associativity,verified,theta_associativity_is_not_I_R_prot
firewall_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-theta-mu-associativity,verified,scalar_trace_is_not_a_flag_naturality_square
firewall_empty_hybrid_carrier,empty_hybrid_carrier,true,0,certificates/hybrid/k3e_hybrid_carrier/manifest.json,verified,aggregate_carrier_population_remains_separate
