firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
firewall_theta_component_only,theta_mu_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-theta-mu-comparison,verified,theta_mu_maps_alone_do_not_zero_the_full_quotient_residual
firewall_bm_component_only,bm_chain_functor_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-borel-moore-chain-functor,verified,Q_E_R_on_chains_is_not_an_operation_comparison
firewall_compact_support_base_change,compact_support_pushforward_base_change_claim,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-theta-mu-comparison,verified,theta_mu_uses_a_pushforward_descent_input_but_does_not_prove_global_base_change
firewall_associativity_component_only,theta_associativity_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-theta-mu-associativity,verified,theta_associativity_does_not_zero_coproduct_primitive_transition_or_integration_rows
firewall_coproduct_component_only,theta_coproduct_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-theta-mu-coproduct,verified,coproduct_compatibility_does_not_zero_primitive_transition_or_integration_rows
firewall_primitive_component_only,theta_primitive_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-theta-mu-primitives,verified,primitive_compatibility_does_not_zero_transition_or_integration_rows
firewall_Q_transition_component_only,Q_E_R_transition_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-hn-transition-compatibility,verified,Q_E_R_transition_compatibility_does_not_prove_protected_integration
firewall_protected_integration,protected_integration_claim,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-theta-mu-comparison,verified,theta_mu_is_not_I_R_prot
firewall_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-theta-mu-comparison,verified,scalar_trace_is_not_a_chain_operation_comparison
firewall_empty_hybrid_carrier,empty_hybrid_carrier,true,0,certificates/hybrid/k3e_hybrid_carrier/manifest.json,verified,aggregate_carrier_population_remains_separate
