firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
firewall_ts_component_only,thom_sebastiani_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-preserves-thom-sebastiani,verified,TS_descent_zero_is_not_full_quotient_residual_zero
firewall_unreduced_ts_claim,unreduced_bbdjs_ts_construction_claim,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-preserves-thom-sebastiani,verified,quotient_descent_requires_unreduced_TS_as_input
firewall_orientation_claim,orientation_existence_claim,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-preserves-thom-sebastiani,verified,orientation_existence_is_not_proved_by_quotient_descent
firewall_coefficient_interface_only,coefficient_descent_interface_only,true,0,certificates/hybrid/quotient_after_correspondence_pseudofunctor_definition/manifest.json,verified,coefficient_descent_without_equivariant_TS_does_not_supply_TS_descent
firewall_pushforward_base_change_claim,compact_support_pushforward_base_change_claim,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-preserves-thom-sebastiani,verified,TS_descent_is_not_a_q_bang_base_change_isomorphism
firewall_flag_component_only,flag_coherence_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-theta-mu-associativity,verified,flag_coherence_does_not_zero_transition_or_aggregate_residuals
firewall_bm_component_only,bm_chain_functor_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-borel-moore-chain-functor,verified,Q_E_R_on_BM_chains_is_not_TS_descent
firewall_theta_component_only,theta_mu_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-theta-mu-comparison,verified,theta_mu_maps_do_not_zero_transition_or_aggregate_residuals
firewall_quotient_first,quotient_first,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-excludes-quotient-first,verified,TS_descent_for_after_correspondence_stacks_is_not_a_quotient_first_Hall_product
firewall_Q_transition_component_only,Q_E_R_transition_component_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-hn-transition-compatibility,verified,Q_E_R_transition_compatibility_does_not_prove_Hall_operation_transition_preservation
firewall_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:quotient-after-correspondence-preserves-thom-sebastiani,verified,scalar_trace_is_not_TS_descent
firewall_empty_hybrid_carrier,empty_hybrid_carrier,true,0,certificates/hybrid/k3e_hybrid_carrier/manifest.json,verified,aggregate_carrier_population_remains_separate
