firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
fw_type_i_divisor_wall,type_i_divisor_wall,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:no-type-i-wall-enters-hybrid-carrier,verified,type_i_roots_have_zero_Delta5_divisor_order
fw_type_i_chamber_symmetry_as_wall,type_i_chamber_symmetry_as_wall,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:no-type-i-wall-enters-hybrid-carrier,verified,type_i_chamber_reflections_only_permute_type_ii_wall_profiles
fw_quotient_resurrection,quotient_resurrection,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:no-type-i-wall-enters-hybrid-carrier,verified,E_quotient_assignment_does_not_create_new_type_i_wall_profiles
fw_global_carrier_exhaustion,global_hybrid_carrier_exhaustion,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:no-type-i-wall-enters-hybrid-carrier,verified,wall_profile_exclusion_is_not_global_colour_exhaustion
fw_o2_wall_atlas,o2_wall_atlas,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:no-type-i-wall-enters-hybrid-carrier,verified,profile_exclusion_does_not_supply_O2_wall_atlas_rows
fw_compact_source,compact_source,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:no-type-i-wall-enters-hybrid-carrier,verified,profile_exclusion_does_not_construct_compact_source_representatives
fw_pfaffian_sign,pfaffian_sign,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:no-type-i-wall-enters-hybrid-carrier,verified,profile_exclusion_does_not_compute_Pfaffian_signs
fw_protected_integration,protected_integration,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:no-type-i-wall-enters-hybrid-carrier,verified,profile_exclusion_does_not_supply_protected_integration
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:no-type-i-wall-enters-hybrid-carrier,verified,scalar_trace_is_not_wall_profile_exclusion
fw_quotient_first,quotient_first,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:no-type-i-wall-enters-hybrid-carrier,verified,exclusion_uses_quotient_after_correspondence_not_quotient_first
