firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
fw_quotient_first,quotient_first,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:type-ii-walls-survive-e-quotient,verified,wall profiles survive only through quotient-after-correspondence
fw_object_quotient_only,object_quotient_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:type-ii-walls-survive-e-quotient,verified,object quotients without arrow assignments do not prove operation survival
fw_target_wall_labels_only,target_wall_labels_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:type-ii-walls-survive-e-quotient,verified,target labels alone do not prove quotient survival
fw_object_nonzero_survival,object_nonzero_survival,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:type-ii-walls-survive-e-quotient,verified,profile survival is not nonzero BM survival
fw_coefficient_descent_nonzero,coefficient_descent_nonzero,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:type-ii-walls-survive-e-quotient,verified,profile survival is not coefficient nonvanishing
fw_o2_wall_atlas,o2_wall_atlas,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:type-ii-walls-survive-e-quotient,verified,profile survival does not supply O2 atlas rows
fw_pfaffian_sign,pfaffian_sign,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:type-ii-walls-survive-e-quotient,verified,profile survival does not compute Pfaffian signs
fw_protected_integration,protected_integration,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:type-ii-walls-survive-e-quotient,verified,profile survival does not supply protected integration
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:type-ii-walls-survive-e-quotient,verified,scalar trace is not quotient profile survival
fw_populated_hybrid_carrier,populated_hybrid_carrier,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:type-ii-walls-survive-e-quotient,verified,profile survival does not populate the aggregate hybrid carrier
fw_compact_hall_source_basis,compact_hall_source_basis,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:type-ii-walls-survive-e-quotient,verified,profile survival does not supply compact Hall source basis vectors
