degree_id,phi_n,phi_l,computed_coefficient,target_signed_dimension,coefficient_residual,coefficient_status,source_formula_id,proof_reference,check_status,notes
2a_12,4,4,10,10,0,coefficient_matches_target,theta_series_phi_01_exact,compute/verify_square_root.py phi_01_coefficients,verified,"f(4,4)=10"
2a_13,0,0,10,10,0,coefficient_matches_target,theta_series_phi_01_exact,compute/verify_square_root.py phi_01_coefficients,verified,"f(0,0)=10"
2a_23,0,0,10,10,0,coefficient_matches_target,theta_series_phi_01_exact,compute/verify_square_root.py phi_01_coefficients,verified,"f(0,0)=10"
C_1_2,2,2,108,108,0,coefficient_matches_target,theta_series_phi_01_exact,compute/verify_square_root.py phi_01_coefficients,verified,"f(2,2)=108"
C_2_2,2,2,108,108,0,coefficient_matches_target,theta_series_phi_01_exact,compute/verify_square_root.py phi_01_coefficients,verified,"f(2,2)=108"
C_3_2,1,0,108,108,0,coefficient_matches_target,theta_series_phi_01_exact,compute/verify_square_root.py phi_01_coefficients,verified,"f(1,0)=108"
D_1,2,1,-513,-513,0,coefficient_matches_target,theta_series_phi_01_exact,compute/verify_square_root.py phi_01_coefficients,verified,"f(2,1)=-513"
D_2,2,1,-513,-513,0,coefficient_matches_target,theta_series_phi_01_exact,compute/verify_square_root.py phi_01_coefficients,verified,"f(2,1)=-513"
D_3,4,3,-513,-513,0,coefficient_matches_target,theta_series_phi_01_exact,compute/verify_square_root.py phi_01_coefficients,verified,"f(4,3)=-513"
C_1_3,3,3,-64,-64,0,coefficient_matches_target,theta_series_phi_01_exact,compute/verify_square_root.py phi_01_coefficients,verified,"f(3,3)=-64"
C_2_3,3,3,-64,-64,0,coefficient_matches_target,theta_series_phi_01_exact,compute/verify_square_root.py phi_01_coefficients,verified,"f(3,3)=-64"
C_3_3,1,-1,-64,-64,0,coefficient_matches_target,theta_series_phi_01_exact,compute/verify_square_root.py phi_01_coefficients,verified,"f(1,-1)=-64"
C_1_4,4,4,10,10,0,coefficient_matches_target,theta_series_phi_01_exact,compute/verify_square_root.py phi_01_coefficients,verified,"f(4,4)=10"
C_2_4,4,4,10,10,0,coefficient_matches_target,theta_series_phi_01_exact,compute/verify_square_root.py phi_01_coefficients,verified,"f(4,4)=10"
C_3_4,1,-2,10,10,0,coefficient_matches_target,theta_series_phi_01_exact,compute/verify_square_root.py phi_01_coefficients,verified,"f(1,-2)=10"
2delta123,4,2,4016,4016,0,coefficient_matches_target,theta_series_phi_01_exact,compute/verify_square_root.py phi_01_coefficients,verified,"f(4,2)=4016"
C_1_5,5,5,0,0,0,terminal_zero_matches_target,theta_series_phi_01_exact,compute/verify_square_root.py phi_01_coefficients,verified,"f(5,5)=0 by absence in exact finite table"
C_2_5,5,5,0,0,0,terminal_zero_matches_target,theta_series_phi_01_exact,compute/verify_square_root.py phi_01_coefficients,verified,"f(5,5)=0 by absence in exact finite table"
C_3_5,1,-3,0,0,0,terminal_zero_matches_target,theta_series_phi_01_exact,compute/verify_square_root.py phi_01_coefficients,verified,"f(1,-3)=0 by absence in exact finite table"
