degree_id,target_fixture_id,target_signed_dimension,computed_coefficient,comparison_residual,target_status,proof_reference,check_status,notes
2a_12,a071_target_presentation,10,10,0,matched,A071 target_dimensions.csv compared with phi_01 coefficient,verified,"signed target dimension equals f(4,4)"
2a_13,a071_target_presentation,10,10,0,matched,A071 target_dimensions.csv compared with phi_01 coefficient,verified,"signed target dimension equals f(0,0)"
2a_23,a071_target_presentation,10,10,0,matched,A071 target_dimensions.csv compared with phi_01 coefficient,verified,"signed target dimension equals f(0,0)"
C_1_2,a071_target_presentation,108,108,0,matched,A071 target_dimensions.csv compared with phi_01 coefficient,verified,"signed target dimension equals f(2,2)"
C_2_2,a071_target_presentation,108,108,0,matched,A071 target_dimensions.csv compared with phi_01 coefficient,verified,"signed target dimension equals f(2,2)"
C_3_2,a071_target_presentation,108,108,0,matched,A071 target_dimensions.csv compared with phi_01 coefficient,verified,"signed target dimension equals f(1,0)"
D_1,a071_target_presentation,-513,-513,0,matched,A071 target_dimensions.csv compared with phi_01 coefficient,verified,"signed target dimension equals f(2,1)"
D_2,a071_target_presentation,-513,-513,0,matched,A071 target_dimensions.csv compared with phi_01 coefficient,verified,"signed target dimension equals f(2,1)"
D_3,a071_target_presentation,-513,-513,0,matched,A071 target_dimensions.csv compared with phi_01 coefficient,verified,"signed target dimension equals f(4,3)"
C_1_3,a071_target_presentation,-64,-64,0,matched,A071 target_dimensions.csv compared with phi_01 coefficient,verified,"signed target dimension equals f(3,3)"
C_2_3,a071_target_presentation,-64,-64,0,matched,A071 target_dimensions.csv compared with phi_01 coefficient,verified,"signed target dimension equals f(3,3)"
C_3_3,a071_target_presentation,-64,-64,0,matched,A071 target_dimensions.csv compared with phi_01 coefficient,verified,"signed target dimension equals f(1,-1)"
C_1_4,a071_target_presentation,10,10,0,matched,A071 target_dimensions.csv compared with phi_01 coefficient,verified,"signed target dimension equals f(4,4)"
C_2_4,a071_target_presentation,10,10,0,matched,A071 target_dimensions.csv compared with phi_01 coefficient,verified,"signed target dimension equals f(4,4)"
C_3_4,a071_target_presentation,10,10,0,matched,A071 target_dimensions.csv compared with phi_01 coefficient,verified,"signed target dimension equals f(1,-2)"
2delta123,a071_target_presentation,4016,4016,0,matched,A071 target_dimensions.csv compared with phi_01 coefficient,verified,"signed target dimension equals f(4,2)"
C_1_5,a071_target_presentation,0,0,0,terminal_zero_matched,A071 target_dimensions.csv compared with phi_01 coefficient,verified,"target terminal zero equals absent coefficient f(5,5)"
C_2_5,a071_target_presentation,0,0,0,terminal_zero_matched,A071 target_dimensions.csv compared with phi_01 coefficient,verified,"target terminal zero equals absent coefficient f(5,5)"
C_3_5,a071_target_presentation,0,0,0,terminal_zero_matched,A071 target_dimensions.csv compared with phi_01 coefficient,verified,"target terminal zero equals absent coefficient f(1,-3)"
