degree_id,tex_label,beta_delta1,beta_delta2,beta_delta3,gamma_n,gamma_l,gamma_m,nm,relation_window_member,target_signed_dimension,target_dimension_status,source_target_status,source_formula_id,target_fixture_id,proof_reference,check_status,notes
2a_12,2a_{12},2,2,0,2,4,2,4,true,10,target_parity_dimension,target_arithmetic_only,theta_series_phi_01_exact,a071_target_presentation,compute/verify_square_root.py phi_01_coefficients; A071 target_degrees.csv,verified,fourier coefficient row for doubled isotropic degree
2a_13,2a_{13},2,0,2,2,0,0,0,true,10,target_parity_dimension,target_arithmetic_only,theta_series_phi_01_exact,a071_target_presentation,compute/verify_square_root.py phi_01_coefficients; A071 target_degrees.csv,verified,fourier coefficient row for doubled isotropic degree
2a_23,2a_{23},0,2,2,0,0,2,0,true,10,target_parity_dimension,target_arithmetic_only,theta_series_phi_01_exact,a071_target_presentation,compute/verify_square_root.py phi_01_coefficients; A071 target_degrees.csv,verified,fourier coefficient row for doubled isotropic degree
C_1_2,"C_{1,2}",2,1,1,2,2,1,2,true,108,signed_only_no_parity_split,target_arithmetic_only,theta_series_phi_01_exact,a071_target_presentation,compute/verify_square_root.py phi_01_coefficients; A071 target_degrees.csv,verified,coefficient certifies signed dimension only
C_2_2,"C_{2,2}",1,2,1,1,2,2,2,true,108,signed_only_no_parity_split,target_arithmetic_only,theta_series_phi_01_exact,a071_target_presentation,compute/verify_square_root.py phi_01_coefficients; A071 target_degrees.csv,verified,coefficient certifies signed dimension only
C_3_2,"C_{3,2}",1,1,2,1,0,1,1,true,108,signed_only_no_parity_split,target_arithmetic_only,theta_series_phi_01_exact,a071_target_presentation,compute/verify_square_root.py phi_01_coefficients; A071 target_degrees.csv,verified,coefficient certifies signed dimension only
D_1,D_{1},1,2,2,1,1,2,2,true,-513,signed_only_no_parity_split,target_arithmetic_only,theta_series_phi_01_exact,a071_target_presentation,compute/verify_square_root.py phi_01_coefficients; A071 target_degrees.csv,verified,coefficient certifies saturation-extension signed dimension only
D_2,D_{2},2,1,2,2,1,1,2,true,-513,signed_only_no_parity_split,target_arithmetic_only,theta_series_phi_01_exact,a071_target_presentation,compute/verify_square_root.py phi_01_coefficients; A071 target_degrees.csv,verified,coefficient certifies saturation-extension signed dimension only
D_3,D_{3},2,2,1,2,3,2,4,true,-513,signed_only_no_parity_split,target_arithmetic_only,theta_series_phi_01_exact,a071_target_presentation,compute/verify_square_root.py phi_01_coefficients; A071 target_degrees.csv,verified,coefficient certifies saturation-extension signed dimension only
C_1_3,"C_{1,3}",3,1,1,3,3,1,3,true,-64,target_parity_dimension,target_arithmetic_only,theta_series_phi_01_exact,a071_target_presentation,compute/verify_square_root.py phi_01_coefficients; A071 target_degrees.csv,verified,weyl-transported target parity row has signed coefficient -64
C_2_3,"C_{2,3}",1,3,1,1,3,3,3,true,-64,target_parity_dimension,target_arithmetic_only,theta_series_phi_01_exact,a071_target_presentation,compute/verify_square_root.py phi_01_coefficients; A071 target_degrees.csv,verified,weyl-transported target parity row has signed coefficient -64
C_3_3,"C_{3,3}",1,1,3,1,-1,1,1,true,-64,target_parity_dimension,target_arithmetic_only,theta_series_phi_01_exact,a071_target_presentation,compute/verify_square_root.py phi_01_coefficients; A071 target_degrees.csv,verified,weyl-transported target parity row has signed coefficient -64
C_1_4,"C_{1,4}",4,1,1,4,4,1,4,true,10,target_parity_dimension,target_arithmetic_only,theta_series_phi_01_exact,a071_target_presentation,compute/verify_square_root.py phi_01_coefficients; A071 target_degrees.csv,verified,weyl-transported isotropic row has coefficient 10
C_2_4,"C_{2,4}",1,4,1,1,4,4,4,true,10,target_parity_dimension,target_arithmetic_only,theta_series_phi_01_exact,a071_target_presentation,compute/verify_square_root.py phi_01_coefficients; A071 target_degrees.csv,verified,weyl-transported isotropic row has coefficient 10
C_3_4,"C_{3,4}",1,1,4,1,-2,1,1,true,10,target_parity_dimension,target_arithmetic_only,theta_series_phi_01_exact,a071_target_presentation,compute/verify_square_root.py phi_01_coefficients; A071 target_degrees.csv,verified,weyl-transported isotropic row has coefficient 10
2delta123,2delta123,2,2,2,2,2,2,4,true,4016,signed_only_no_parity_split,target_arithmetic_only,theta_series_phi_01_exact,a071_target_presentation,compute/verify_square_root.py phi_01_coefficients; A071 target_degrees.csv,verified,coefficient certifies signed dimension only
C_1_5,"C_{1,5}",5,1,1,5,5,1,5,true,0,target_parity_dimension,target_arithmetic_only,theta_series_phi_01_exact,a071_target_presentation,compute/verify_square_root.py phi_01_coefficients; A071 target_degrees.csv,verified,terminal real-root string coefficient is zero
C_2_5,"C_{2,5}",1,5,1,1,5,5,5,true,0,target_parity_dimension,target_arithmetic_only,theta_series_phi_01_exact,a071_target_presentation,compute/verify_square_root.py phi_01_coefficients; A071 target_degrees.csv,verified,terminal real-root string coefficient is zero
C_3_5,"C_{3,5}",1,1,5,1,-3,1,1,true,0,target_parity_dimension,target_arithmetic_only,theta_series_phi_01_exact,a071_target_presentation,compute/verify_square_root.py phi_01_coefficients; A071 target_degrees.csv,verified,terminal real-root string coefficient is zero
