direction_id,ray_id,direction_index,ray_generator_coeff,square,gn_tau_total,direction_count_for_ray,source_reference,check_status,notes
u_12_1,a_12,1,1,0,9,9,GNII Section 5.1.1 eta-product expansion,verified,target GN isotropic direction on ray a_12
u_12_2,a_12,2,1,0,9,9,GNII Section 5.1.1 eta-product expansion,verified,target GN isotropic direction on ray a_12
u_12_3,a_12,3,1,0,9,9,GNII Section 5.1.1 eta-product expansion,verified,target GN isotropic direction on ray a_12
u_12_4,a_12,4,1,0,9,9,GNII Section 5.1.1 eta-product expansion,verified,target GN isotropic direction on ray a_12
u_12_5,a_12,5,1,0,9,9,GNII Section 5.1.1 eta-product expansion,verified,target GN isotropic direction on ray a_12
u_12_6,a_12,6,1,0,9,9,GNII Section 5.1.1 eta-product expansion,verified,target GN isotropic direction on ray a_12
u_12_7,a_12,7,1,0,9,9,GNII Section 5.1.1 eta-product expansion,verified,target GN isotropic direction on ray a_12
u_12_8,a_12,8,1,0,9,9,GNII Section 5.1.1 eta-product expansion,verified,target GN isotropic direction on ray a_12
u_12_9,a_12,9,1,0,9,9,GNII Section 5.1.1 eta-product expansion,verified,target GN isotropic direction on ray a_12
u_13_1,a_13,1,1,0,9,9,GNII Section 5.1.1 eta-product expansion,verified,target GN isotropic direction on ray a_13
u_13_2,a_13,2,1,0,9,9,GNII Section 5.1.1 eta-product expansion,verified,target GN isotropic direction on ray a_13
u_13_3,a_13,3,1,0,9,9,GNII Section 5.1.1 eta-product expansion,verified,target GN isotropic direction on ray a_13
u_13_4,a_13,4,1,0,9,9,GNII Section 5.1.1 eta-product expansion,verified,target GN isotropic direction on ray a_13
u_13_5,a_13,5,1,0,9,9,GNII Section 5.1.1 eta-product expansion,verified,target GN isotropic direction on ray a_13
u_13_6,a_13,6,1,0,9,9,GNII Section 5.1.1 eta-product expansion,verified,target GN isotropic direction on ray a_13
u_13_7,a_13,7,1,0,9,9,GNII Section 5.1.1 eta-product expansion,verified,target GN isotropic direction on ray a_13
u_13_8,a_13,8,1,0,9,9,GNII Section 5.1.1 eta-product expansion,verified,target GN isotropic direction on ray a_13
u_13_9,a_13,9,1,0,9,9,GNII Section 5.1.1 eta-product expansion,verified,target GN isotropic direction on ray a_13
u_23_1,a_23,1,1,0,9,9,GNII Section 5.1.1 eta-product expansion,verified,target GN isotropic direction on ray a_23
u_23_2,a_23,2,1,0,9,9,GNII Section 5.1.1 eta-product expansion,verified,target GN isotropic direction on ray a_23
u_23_3,a_23,3,1,0,9,9,GNII Section 5.1.1 eta-product expansion,verified,target GN isotropic direction on ray a_23
u_23_4,a_23,4,1,0,9,9,GNII Section 5.1.1 eta-product expansion,verified,target GN isotropic direction on ray a_23
u_23_5,a_23,5,1,0,9,9,GNII Section 5.1.1 eta-product expansion,verified,target GN isotropic direction on ray a_23
u_23_6,a_23,6,1,0,9,9,GNII Section 5.1.1 eta-product expansion,verified,target GN isotropic direction on ray a_23
u_23_7,a_23,7,1,0,9,9,GNII Section 5.1.1 eta-product expansion,verified,target GN isotropic direction on ray a_23
u_23_8,a_23,8,1,0,9,9,GNII Section 5.1.1 eta-product expansion,verified,target GN isotropic direction on ray a_23
u_23_9,a_23,9,1,0,9,9,GNII Section 5.1.1 eta-product expansion,verified,target GN isotropic direction on ray a_23
