factor_closure_id,window_id,hn_type_id,object_id,factor_position,factor_type_id,factor_object_id,factor_substack_id,retained_class_id,retained_closed_substack_id,factor_retained,hn_factor_closure_defect_rank,geometric_source_id,proof_reference,check_status,notes
HNFact_R0_s3_1,win_R0_hn,hn_s3,s3,1,type_s3,s3,Mss_R0_s3,C_R0_s3,Closed_R0_s3,true,0,retained_hn_factor_closure_theorem,chapters/02_k3xe_setup.tex:prop:retained-hn-factor-closure,verified,hn_s3 factor type_s3 is retained
HNFact_R0_s2_1,win_R0_hn,hn_s2,s2,1,type_s2,s2,Mss_R0_s2,C_R0_s2,Closed_R0_s2,true,0,retained_hn_factor_closure_theorem,chapters/02_k3xe_setup.tex:prop:retained-hn-factor-closure,verified,hn_s2 factor type_s2 is retained
HNFact_R0_s1_1,win_R0_hn,hn_s1,s1,1,type_s1,s1,Mss_R0_s1,C_R0_s1,Closed_R0_s1,true,0,retained_hn_factor_closure_theorem,chapters/02_k3xe_setup.tex:prop:retained-hn-factor-closure,verified,hn_s1 factor type_s1 is retained
HNFact_R0_e32_1,win_R0_hn,hn_e32,e32,1,type_s3,s3,Mss_R0_s3,C_R0_s3,Closed_R0_s3,true,0,retained_hn_factor_closure_theorem,chapters/02_k3xe_setup.tex:prop:retained-hn-factor-closure,verified,first hn_e32 factor type_s3 is retained
HNFact_R0_e32_2,win_R0_hn,hn_e32,e32,2,type_s2,s2,Mss_R0_s2,C_R0_s2,Closed_R0_s2,true,0,retained_hn_factor_closure_theorem,chapters/02_k3xe_setup.tex:prop:retained-hn-factor-closure,verified,second hn_e32 factor type_s2 is retained
HNFact_R0_e21_1,win_R0_hn,hn_e21,e21,1,type_s2,s2,Mss_R0_s2,C_R0_s2,Closed_R0_s2,true,0,retained_hn_factor_closure_theorem,chapters/02_k3xe_setup.tex:prop:retained-hn-factor-closure,verified,first hn_e21 factor type_s2 is retained
HNFact_R0_e21_2,win_R0_hn,hn_e21,e21,2,type_s1,s1,Mss_R0_s1,C_R0_s1,Closed_R0_s1,true,0,retained_hn_factor_closure_theorem,chapters/02_k3xe_setup.tex:prop:retained-hn-factor-closure,verified,second hn_e21 factor type_s1 is retained
HNFact_R0_f321_1,win_R0_hn,hn_f321,f321,1,type_s3,s3,Mss_R0_s3,C_R0_s3,Closed_R0_s3,true,0,retained_hn_factor_closure_theorem,chapters/02_k3xe_setup.tex:prop:retained-hn-factor-closure,verified,first hn_f321 factor type_s3 is retained
HNFact_R0_f321_2,win_R0_hn,hn_f321,f321,2,type_s2,s2,Mss_R0_s2,C_R0_s2,Closed_R0_s2,true,0,retained_hn_factor_closure_theorem,chapters/02_k3xe_setup.tex:prop:retained-hn-factor-closure,verified,second hn_f321 factor type_s2 is retained
HNFact_R0_f321_3,win_R0_hn,hn_f321,f321,3,type_s1,s1,Mss_R0_s1,C_R0_s1,Closed_R0_s1,true,0,retained_hn_factor_closure_theorem,chapters/02_k3xe_setup.tex:prop:retained-hn-factor-closure,verified,third hn_f321 factor type_s1 is retained
