relation_id,relation_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
hn_type_words_imported,input_coverage,7,7,0,retained HN type-bound packet,verified,seven retained HN words imported
class_rows_imported,input_coverage,3,3,0,retained class-bound packet,verified,three retained class rows imported
closed_substacks_imported,input_coverage,3,3,0,retained closed-substack packet,verified,three retained closed substacks imported
hn_factor_closure_imported,input_coverage,10,10,0,retained HN-factor-closure packet,verified,ten HN-factor closure rows imported
type_dual_rows_defined,dual_coverage,3,3,0,retained dual-closure packet,verified,three factor-type dual rows supplied
dual_hn_word_rows_defined,dual_coverage,7,7,0,retained dual-closure packet,verified,seven HN-word dual rows supplied
type_duality_involutive,involution_check,3,3,0,retained dual-closure packet,verified,type duality is involutive on retained factor types
hn_word_duality_involutive,involution_check,7,7,0,retained dual-closure packet,verified,HN-word duality is involutive on retained HN words
factorwise_reversal_verified,word_check,7,7,0,retained dual-closure packet,verified,HN-word duality is reverse factorwise duality
dual_closure_defects_zero,defect_check,7,7,0,retained dual-closure packet,verified,dual-closure defects vanish
dual_closure_mirrored,finite_moduli_mirror,7,7,0,retained dual-closure packet,verified,dual-closure rows mirrored into finite-moduli packet
extension_flag_stacks_not_proved,limitation,0,0,0,retained dual-closure packet,verified,dual-closure rows do not construct extension or flag stacks
subquotient_closure_not_proved,limitation,0,0,0,retained dual-closure packet,verified,dual-closure rows do not prove subquotient closure in flag stacks
finite_hall_stage_not_proved,limitation,0,0,0,retained dual-closure packet,verified,dual-closure rows do not construct the finite Hall stage
