relation_id,relation_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
hn_type_words_imported,input_coverage,7,7,0,retained HN type-bound packet,verified,seven retained HN word types imported
closed_substacks_imported,input_coverage,3,3,0,retained closed-substack packet,verified,three retained closed semistable substacks imported
closure_bounds_imported,input_coverage,3,3,0,retained HN type-bound packet,verified,three extension-word closure bounds imported
binary_extension_rows_defined,extension_coverage,4,4,0,retained extension-closure packet,verified,four nonempty binary extension rows supplied
retained_middle_terms_defined,middle_term_coverage,3,3,0,retained extension-closure packet,verified,three retained middle HN terms supplied
middle_terms_inside_retained_window,window_membership,3,3,0,retained extension-closure packet,verified,every extension middle term lies in retained HN word set
extension_closure_defects_zero,defect_check,4,4,0,retained extension-closure packet,verified,extension closure defects vanish on all binary rows
extension_closure_mirrored,finite_moduli_mirror,4,4,0,retained extension-closure packet,verified,extension closure rows mirrored into finite-moduli packet
extension_flag_stacks_not_proved,limitation,0,0,0,retained extension-closure packet,verified,extension closure rows do not construct extension or flag stacks
hn_factor_closure_not_proved,limitation,0,0,0,retained extension-closure packet,verified,HN-factor closure is supplied by the retained HN-factor-closure packet and not by extension closure
dual_closure_not_proved,limitation,0,0,0,retained extension-closure packet,verified,dual closure is supplied by the retained dual-closure packet and not by extension closure
finite_hall_stage_not_proved,limitation,0,0,0,retained extension-closure packet,verified,extension closure rows do not construct the finite Hall stage
