relation_id,relation_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
finite_hn_factor_type_set,row_count,3,3,0,finite retained-window bounded HN type packet,verified,three semistable HN factor types occur
finite_hn_type_word_set,row_count,7,7,0,finite retained-window bounded HN type packet,verified,seven HN type words including the zero type occur
bounded_hn_height,max_rank,3,3,0,finite retained-window bounded HN type packet,verified,HN height is bounded by three in the active window
bounded_factor_count,max_rank,3,3,0,finite retained-window bounded HN type packet,verified,no HN word has more than three factors
bounded_length_rank,max_rank,3,3,0,finite retained-window bounded HN type packet,verified,retained length rank is bounded by three
all_retained_objects_bounded,row_count,7,7,0,finite retained-window bounded HN type packet,verified,every retained object has a bounded HN type
active_window_hn_type_bounded,formal_identity,1,1,0,finite retained-window bounded HN type packet,verified,HN type is bounded in the active retained window
finite_moduli_not_proved,firewall,1,1,0,finite retained-window bounded HN type packet,verified,finite moduli require later stack rows
semistable_substacks_not_proved,firewall,1,1,0,finite retained-window bounded HN type packet,verified,finite-type semistable substacks are not constructed here
derived_moduli_not_proved,firewall,1,1,0,finite retained-window bounded HN type packet,verified,derived enhancements are not constructed here
