relation_id,relation_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
bounded_hn_types_imported,input,1,1,0,retained semistable-substack packet,verified,bounded HN factor types are imported from the retained HN type packet
ambient_quot_postnikov_charts_finite_type,row_count,3,3,0,retained semistable-substack packet,verified,three finite-type bounded Quot/Postnikov ambient charts are supplied
one_substack_per_retained_class,row_count,3,3,0,retained semistable-substack packet,verified,one finite-type semistable substack is supplied for each retained class
semistability_defects_zero,defect_sum,0,0,0,retained semistable-substack packet,verified,semistability defect ranks vanish
boundedness_defects_zero,defect_sum,0,0,0,retained semistable-substack packet,verified,boundedness defect ranks vanish
specialization_closed,row_count,3,3,0,retained semistable-substack packet,verified,all retained semistable substacks are specialization closed
finite_type_semistable_substacks,theorem,1,1,0,retained semistable-substack packet,verified,item 167 is supplied at finite HN height
derived_moduli_not_proved,firewall,1,1,0,retained semistable-substack packet,verified,derived enhancements remain later rows
universal_complexes_not_proved,firewall,1,1,0,retained semistable-substack packet,verified,universal complexes remain later rows
rigidification_not_proved,firewall,1,1,0,retained semistable-substack packet,verified,rigidification remains a later row
finite_hall_stage_not_proved,firewall,1,1,0,retained semistable-substack packet,verified,full finite Hall stage remains open
