firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
fw_derived,quasi_smooth_moduli,true,0,retained semistable-substack packet,verified,finite-type semistable substacks are not derived enhancements
fw_universal,universal_complexes,true,0,retained semistable-substack packet,verified,finite-type semistable substacks are not universal complexes
fw_scalar_rigidification,scalar_rigidification,true,0,retained semistable-substack packet,verified,finite-type semistable substacks are not scalar rigidifications
fw_inertia,finite_residual_inertia,true,0,retained semistable-substack packet,verified,finite-type semistable substacks do not prove finite inertia
fw_flags,extension_flag_stacks,true,0,retained semistable-substack packet,verified,finite-type semistable substacks are not extension or flag stacks
fw_cosection,cosection_atlas,true,0,retained semistable-substack packet,verified,finite-type semistable substacks are not cosection atlases
fw_transitions,transitions,true,0,retained semistable-substack packet,verified,finite-type semistable substacks are not transition data
fw_hall,compact_hall_stage,true,0,retained semistable-substack packet,verified,finite-type semistable substacks are not the compact Hall stage
fw_pfaffian,pfaffian_orientation,true,0,retained semistable-substack packet,verified,finite-type semistable substacks are not Pfaffian orientations
fw_trace,protected_trace,true,0,retained semistable-substack packet,verified,finite-type semistable substacks are not protected traces
